/ && GET,avg,
808.9392374820305,808.9392374820305,
809.0378324620904,809.0378324620904,
827.3355767115726,827.3355767115726,
827.4355038787387,827.4355038787387,
818.1063625979704,818.1063625979704,
818.1805535521682,818.1805535521682,
819.974865051739,819.974865051739,
807.6604968382843,807.6604968382843,
797.2237845392315,797.2237845392315,
778.8274541239255,778.8274541239255,
761.27860411078,761.27860411078,
740.326815841037,740.326815841037,
727.82544702758,727.82544702758,
704.6311376499801,704.6311376499801,
695.3360825339215,695.3360825339215,
672.5854682346892,672.5854682346892,
663.5230387890044,663.5230387890044,
658.2251309022075,658.2251309022075,
634.1229328394833,634.1229328394833,
624.7125815715256,624.7125815715256,
599.8630799574037,599.8630799574037,
592.2005390209648,592.2005390209648,
545.9453172314402,545.9453172314402,
484.48103728911184,484.48103728911184,
472.84618859150044,472.84618859150044,
437.5324358312302,437.5324358312302,
429.0929864224417,429.0929864224417,
384.60134132110807,384.60134132110807,
390.9221699763459,390.9221699763459,
372.5407266268812,372.5407266268812,
378.1328440789095,378.1328440789095,
391.4643849385788,391.4643849385788,
394.53235159019425,394.53235159019425,
393.46676198268045,393.46676198268045,
372.5317131230762,372.5317131230762,
363.3511356488637,363.3511356488637,
357.90001385200276,357.90001385200276,
347.7508917942086,347.7508917942086,
266.2946225034046,266.2946225034046,
254.41950958534693,254.41950958534693,
252.63906777684323,252.63906777684323,
235.04461804813945,235.04461804813945,
234.69528777769884,234.69528777769884,
210.5179066269706,210.5179066269706,
204.69556193220276,204.69556193220276,
168.92953829984378,168.92953829984378,
151.75189294848505,151.75189294848505,
134.44927263231153,134.44927263231153,
135.19892956225604,135.19892956225604,
137.43116662752425,137.43116662752425,
139.03385621229182,139.03385621229182,
138.44741021387924,138.44741021387924,
134.50605485304283,134.50605485304283,
134.31073303491377,134.31073303491377,
135.56177439721634,135.56177439721634,
143.90328160833613,143.90328160833613,
147.11300818781535,147.11300818781535,
163.67770306172372,163.67770306172372,
166.9780090300461,166.9780090300461,
176.39089242891646,176.39089242891646,
175.81945161917957,175.81945161917957,
175.57409838541457,175.57409838541457,
167.11356919410315,167.11356919410315,
159.01138675135624,159.01138675135624,
167.55612779419016,167.55612779419016,
178.91984977041125,178.91984977041125,
167.19530309284045,167.19530309284045,
168.17567567567556,168.17567567567556,
149.40758293838917,149.40758293838917,
132.94117647058832,132.94117647058832,
117.20812182741119,117.20812182741119,
104.11917098445551,104.11917098445551,
99.18653576437586,99.18653576437586,
104.87309644670067,104.87309644670067,
104.87309644670067,104.87309644670067,
130.28985507246387,130.28985507246387,
130.28985507246387,130.28985507246387,
140.0684931506853,140.0684931506853,
145.62499999999994,145.62499999999994,
