avg,unknown
2.0,1.0
2.32,1.16
3.92,1.96
5.04,2.52
5.44,2.72
6.4,3.2
7.12,3.56
7.36,3.68
7.28,3.64
7.44,3.72
8.719999999999999,4.359999999999999
8.96,4.48
9.84,4.92
10.4,5.2
11.68,5.84
12.8,6.4
12.96,6.48
13.84,6.92
14.08,7.04
14.16,7.08
14.32,7.16
14.24,7.12
14.4,7.2
15.6,7.8
16.72,8.36
17.200000000000003,8.600000000000001
18.0,9.0
18.88,9.44
19.2,9.6
20.16,10.08
20.48,10.24
20.4,10.2
20.32,10.16
20.64,10.32
21.68,10.84
21.76,10.88
22.56,11.28
22.64,11.32
23.28,11.64
24.16,12.08
24.4,12.2
24.8,12.4
24.8,12.4
25.12,12.56
24.96,12.48
25.04,12.52
25.2,12.6
25.6,12.8
25.840000000000003,12.920000000000002
25.92,12.96
26.08,13.04
26.48,13.24
26.56,13.28
26.8,13.4
26.96,13.48
26.96,13.48
26.96,13.48
26.96,13.48
26.96,13.48
26.96,13.48
27.2,13.6
27.04,13.52
27.12,13.56
27.36,13.68
27.6,13.8
27.6,13.8
27.6,13.8
27.44,13.72
27.44,13.72
27.6,13.8
27.36,13.68
27.36,13.68
27.28,13.64
27.36,13.68
27.36,13.68
27.44,13.72
27.44,13.72
27.28,13.64
27.52,13.76
27.68,13.84
27.36,13.68
27.52,13.76
27.6,13.8
27.28,13.64
27.6,13.8
27.52,13.76
27.44,13.72
27.44,13.72
27.6,13.8
27.2,13.6
27.12,13.56
27.84,13.92
26.72,13.36
27.04,13.52
27.44,13.72
27.28,13.64
27.28,13.64
27.44,13.72
27.6,13.8
27.2,13.6
27.36,13.68
27.68,13.84
27.12,13.56
27.28,13.64
27.2,13.6
27.28,13.64
27.12,13.56
27.28,13.64
27.44,13.72
27.12,13.56
27.28,13.64
27.28,13.64
27.44,13.72
27.36,13.68
27.36,13.68
27.12,13.56
26.88,13.44
27.26,13.63
27.04,13.52
26.96,13.48
26.96,13.48
27.2,13.6
27.28,13.64
27.28,13.64
27.36,13.68
27.36,13.68
27.44,13.72
27.6,13.8
27.44,13.72
27.28,13.64
27.36,13.68
27.36,13.68
27.28,13.64
27.28,13.64
27.44,13.72
27.04,13.52
26.64,13.32
27.04,13.52
26.64,13.32
26.64,13.32
27.04,13.52
27.12,13.56
27.2,13.6
27.2,13.6
27.52,13.76
27.44,13.72
27.6,13.8
27.68,13.84
27.2,13.6
27.04,13.52
27.04,13.52
27.2,13.6
27.12,13.56
26.96,13.48
27.04,13.52
27.04,13.52
27.36,13.68
27.28,13.64
26.96,13.48
26.72,13.36
27.04,13.52
27.28,13.64
27.12,13.56
27.28,13.64
27.12,13.56
27.2,13.6
27.12,13.56
27.68,13.84
27.52,13.76
27.04,13.52
26.96,13.48
26.96,13.48
27.2,13.6
27.28,13.64
27.44,13.72
27.44,13.72
27.44,13.72
27.44,13.72
27.44,13.72
27.36,13.68
27.12,13.56
27.36,13.68
27.36,13.68
27.12,13.56
27.28,13.64
27.52,13.76
27.76,13.88
27.6,13.8
27.6,13.8
27.28,13.64
27.28,13.64
27.44,13.72
27.2,13.6
27.36,13.68
27.12,13.56
27.2,13.6
27.35459416233507,13.677297081167534
27.52,13.76
27.6,13.8
27.52,13.76
27.44,13.72
27.2,13.6
27.2,13.6
27.36,13.68
27.445442176870756,13.722721088435376
27.36,13.68
27.44,13.72
27.6,13.8
27.44,13.72
27.52,13.76
27.68,13.84
27.44,13.72
27.36,13.68
27.76,13.88
27.6,13.8
27.52,13.76
27.76,13.88
27.68,13.84
27.52,13.76
27.68,13.84
27.68,13.84
27.2,13.6
27.2,13.6
27.12,13.56
27.12,13.56
27.28,13.64
27.36,13.68
27.04,13.52
27.12,13.56
27.120000000000005,13.560000000000002
27.04,13.52
27.2,13.6
27.2,13.6
27.04,13.52
27.12,13.56
27.04,13.52
26.88,13.44
27.28,13.64
27.36,13.68
27.2,13.6
27.12,13.56
27.2,13.6
27.04,13.52
27.2,13.6
27.36,13.68
26.88,13.44
26.88,13.44
26.96,13.48
27.28,13.64
27.12,13.56
27.2,13.6
27.28,13.64
27.28,13.64
27.520000000000003,13.760000000000002
27.680000000000003,13.840000000000002
27.44,13.72
27.36,13.68
27.6,13.8
27.44,13.72
27.68,13.84
27.68,13.84
27.52,13.76
27.28,13.64
27.6,13.8
27.52,13.76
27.28,13.64
27.52,13.76
27.36,13.68
27.120000000000005,13.560000000000002
27.28,13.64
27.36,13.68
27.12,13.56
27.28,13.64
27.44,13.72
27.28,13.64
27.44,13.72
27.6,13.8
27.52,13.76
27.28,13.64
27.52,13.76
27.44,13.72
27.52,13.76
27.52,13.76
27.36,13.68
27.28,13.64
27.44,13.72
27.36,13.68
27.52,13.76
27.52,13.76
27.2,13.6
27.36,13.68
27.36,13.68
27.36,13.68
27.28,13.64
27.36,13.68
27.28,13.64
27.28,13.64
27.44,13.72
27.44,13.72
27.12,13.56
27.28,13.64
27.2,13.6
27.2,13.6
27.36,13.68
27.2,13.6
27.12,13.56
26.8,13.4
26.88,13.44
27.2,13.6
27.04,13.52
26.88,13.44
26.8,13.4
26.8,13.4
26.96,13.48
27.12,13.56
27.12,13.56
27.12,13.56
27.36,13.68
27.36,13.68
27.2,13.6
26.96,13.48
26.88,13.44
27.36,13.68
27.36,13.68
26.88,13.44
26.88,13.44
26.96,13.48
27.04,13.52
27.28,13.64
27.44,13.72
27.04,13.52
26.8,13.4
27.28,13.64
27.04,13.52
27.04,13.52
27.2,13.6
27.2,13.6
27.12,13.56
26.8,13.4
27.04,13.52
26.96,13.48
26.96,13.48
27.12,13.56
27.12,13.56
27.04,13.52
27.2,13.6
27.44,13.72
27.44,13.72
27.28,13.64
27.44,13.72
27.44,13.72
27.28,13.64
27.36,13.68
27.28,13.64
27.28,13.64
27.28,13.64
27.28,13.64
27.52,13.76
27.44,13.72
27.44,13.72
27.28,13.64
27.12,13.56
26.88,13.44
26.88,13.44
27.28,13.64
27.28,13.64
27.36,13.68
27.44,13.72
27.44,13.72
27.28,13.64
27.76,13.88
27.92,13.96
27.44,13.72
27.28,13.64
27.440000000000005,13.720000000000002
27.2,13.6
27.28,13.64
27.44,13.72
27.6,13.8
27.36,13.68
27.04,13.52
27.2,13.6
27.04,13.52
27.36,13.68
27.2,13.6
27.28,13.64
27.2,13.6
27.2,13.6
27.36,13.68
27.52,13.76
27.28,13.64
27.28,13.64
27.68,13.84
27.52,13.76
27.52,13.76
27.68,13.84
27.68,13.84
27.44,13.72
27.52,13.76
27.28,13.64
27.12,13.56
26.88,13.44
27.04,13.52
26.56,13.28
27.04,13.52
27.12,13.56
26.88,13.44
27.52,13.76
27.52,13.76
27.76,13.88
27.6,13.8
27.44,13.72
27.12,13.56
27.28,13.64
27.28,13.64
26.88,13.44
26.96,13.48
26.8,13.4
26.8,13.4
27.36,13.68
27.36,13.68
27.28,13.64
27.28,13.64
27.36,13.68
27.2,13.6
27.36,13.68
27.28,13.64
27.2,13.6
26.96,13.48
26.8,13.4
27.12,13.56
26.96,13.48
26.96,13.48
26.88,13.44
26.96,13.48
27.2,13.6
27.36,13.68
27.04,13.52
26.64,13.32
27.04,13.52
27.28,13.64
27.44,13.72
27.28,13.64
27.04,13.52
26.88,13.44
27.2,13.6
27.52,13.76
27.36,13.68
26.96,13.48
26.88,13.44
27.2,13.6
27.28,13.64
27.12,13.56
27.2,13.6
26.88,13.44
26.96,13.48
27.28,13.64
27.28,13.64
27.04,13.52
26.96,13.48
27.2,13.6
27.2,13.6
27.6,13.8
27.44,13.72
27.2,13.6
27.28,13.64
27.28,13.64
27.28,13.64
27.12,13.56
27.04,13.52
26.96,13.48
26.96,13.48
27.12,13.56
26.88,13.44
27.04,13.52
