/ GET,avg
544.9309523809524,544.9309523809524
528.4263322884012,528.4263322884012
533.7808641975308,533.7808641975308
533.7808641975308,533.7808641975308
530.0076103500761,530.0076103500761
530.0076103500761,530.0076103500761
525.2945736434109,525.2945736434109
520.8536585365854,520.8536585365854
520.8536585365854,520.8536585365854
534.0687022900763,534.0687022900763
534.0687022900763,534.0687022900763
502.9518072289156,502.9518072289156
494.2073170731707,494.2073170731707
494.2073170731707,494.2073170731707
556.2492113564668,556.2492113564668
556.2492113564668,556.2492113564668
601.0541871921182,601.0541871921182
561.3494539781591,561.3494539781591
570.9497645211932,570.9497645211932
570.9497645211932,570.9497645211932
569.2967289719627,569.2967289719627
569.2967289719627,569.2967289719627
550.1808346213293,550.1808346213293
555.2870662460568,555.2870662460568
555.2870662460568,555.2870662460568
547.2596599690881,547.2596599690881
547.2596599690881,547.2596599690881
552.6636085626911,552.6636085626911
522.5292758089369,522.5292758089369
522.5292758089369,522.5292758089369
547.3677621283255,547.3677621283255
552.2380216383308,552.2380216383308
552.2380216383308,552.2380216383308
546.2987220447285,546.2987220447285
546.2987220447285,546.2987220447285
574.0505617977527,574.0505617977527
584.7978896103896,584.7978896103896
584.7978896103896,584.7978896103896
550.3702830188679,550.3702830188679
550.3702830188679,550.3702830188679
557.7645669291338,557.7645669291338
563.2688087774295,563.2688087774295
563.2688087774295,563.2688087774295
550.243328100471,550.243328100471
550.243328100471,550.243328100471
548.4009360374415,548.4009360374415
547.8996865203761,547.8996865203761
547.8996865203761,547.8996865203761
514.2093023255813,514.2093023255813
500.6183206106871,500.6183206106871
500.6183206106871,500.6183206106871
477.2960725075529,477.2960725075529
477.2960725075529,477.2960725075529
497.4731182795699,497.4731182795699
549.3161993769471,549.3161993769471
549.3161993769471,549.3161993769471
580.9230769230769,580.9230769230769
580.9230769230769,580.9230769230769
595.2336523125997,595.2336523125997
580.2370892018779,580.2370892018779
580.2370892018779,580.2370892018779
548.3096366508689,548.3096366508689
548.3096366508689,548.3096366508689
563.4047619047619,563.4047619047619
575.2446982055465,575.2446982055465
575.2446982055465,575.2446982055465
575.5128205128206,575.5128205128206
575.5128205128206,575.5128205128206
566.1635220125786,566.1635220125786
550.998475609756,550.998475609756
550.998475609756,550.998475609756
513.611963190184,513.611963190184
513.611963190184,513.611963190184
615.3206349206349,615.3206349206349
616.8449111470113,616.8449111470113
616.8449111470113,616.8449111470113
631.172077922078,631.172077922078
650.6366666666667,650.6366666666667
650.6366666666667,650.6366666666667
646.6672104404568,646.6672104404568
646.6672104404568,646.6672104404568
535.8709175738725,535.8709175738725
506.8335901386749,506.8335901386749
506.8335901386749,506.8335901386749
494.9215070643642,494.9215070643642
494.9215070643642,494.9215070643642
540.0695792880259,540.0695792880259
617.81592039801,617.81592039801
617.81592039801,617.81592039801
600.9705400981996,600.9705400981996
600.9705400981996,600.9705400981996
621.7067545304777,621.7067545304777
612.0290791599353,612.0290791599353
612.0290791599353,612.0290791599353
574.631746031746,574.631746031746
516.7357032457496,516.7357032457496
516.7357032457496,516.7357032457496
531.4641148325359,531.4641148325359
531.4641148325359,531.4641148325359
593.0479233226837,593.0479233226837
614.9309210526316,614.9309210526316
614.9309210526316,614.9309210526316
641.4772727272727,641.4772727272727
641.4772727272727,641.4772727272727
622.9578606158833,622.9578606158833
603.2731554160125,603.2731554160125
603.2731554160125,603.2731554160125
538.7200622083981,538.7200622083981
538.7200622083982,538.7200622083982
518.8987915407855,518.8987915407855
470.5,470.5
470.5,470.5
527.08934169279,527.08934169279
544.7470119521913,544.7470119521913
551.8422712933755,551.8422712933755
553.3091482649843,553.3091482649843
553.3091482649843,553.3091482649843
584.0775444264943,584.0775444264943
655.8890728476821,655.8890728476821
655.8890728476821,655.8890728476821
634.8723051409619,634.8723051409619
634.8723051409619,634.8723051409619
695.9446337308348,695.9446337308348
738.5705467372134,738.5705467372134
738.5705467372134,738.5705467372134
753.1527531083482,753.1527531083482
753.1527531083482,753.1527531083482
706.3870967741935,706.3870967741935
663.53125,663.53125
663.53125,663.53125
591.7295081967213,591.7295081967213
590.588888888889,590.588888888889
590.588888888889,590.588888888889
569.4075500770416,569.4075500770416
569.4075500770416,569.4075500770416
541.6700468018721,541.6700468018721
