unknown,avg
207.86111111111111,207.86111111111111
194.585,194.585
190.5511811023622,190.5511811023622
182.72426470588235,182.72426470588235
184.24846625766872,184.24846625766872
159.83815028901736,159.83815028901736
160.81976744186045,160.81976744186045
145.07142857142858,145.07142857142858
175.59677419354838,175.59677419354838
186.23880597014923,186.23880597014923
227.63768115942025,227.63768115942025
232.1764705882353,232.1764705882353
279.3296943231441,279.3296943231441
330.19921874999994,330.19921874999994
324.0567765567765,324.0567765567765
350.4303571428572,350.4303571428572
375.8013698630137,375.8013698630137
375.8013698630137,375.8013698630137
378.14089347079033,378.14089347079033
380.68135593220336,380.68135593220336
378.7311643835616,378.7311643835616
473.9064625850339,473.9064625850339
474.03691275167785,474.03691275167785
568.7658862876254,568.7658862876254
556.7687296416938,556.7687296416938
648.016077170418,648.016077170418
750.9193037974683,750.9193037974683
751.815625,751.815625
850.796875,850.796875
849.4829192546584,849.4829192546584
856.7693498452013,856.7693498452013
857.6052631578948,857.6052631578948
893.6959876543209,893.6959876543209
956.2539936102236,956.2539936102236
1057.8911042944787,1057.8911042944787
1087.749240121581,1087.749240121581
1151.8772727272728,1151.8772727272728
1232.4033232628396,1232.4033232628396
1251.8498498498498,1251.8498498498498
1349.3910447761195,1349.3910447761195
1347.0641791044775,1347.0641791044775
1355.8790087463558,1355.8790087463558
1370.6032934131738,1370.6032934131738
1427.2703927492448,1427.2703927492448
1445.3972809667675,1445.3972809667675
1610.0641791044775,1610.0641791044775
1610.0641791044775,1610.0641791044775
1745.259878419453,1745.259878419453
1827.1601208459213,1827.1601208459213
1873.22188449848,1873.22188449848
2004.520123839009,2004.520123839009
1997.02743902439,1997.02743902439
2044.6696696696697,2044.6696696696697
2038.1498470948009,2038.1498470948009
2038.1498470948009,2038.1498470948009
2056.3363363363364,2056.3363363363364
2127.3723723723724,2127.3723723723724
2183.8288288288286,2183.8288288288286
2288.643067846608,2288.643067846608
2381.845238095238,2381.845238095238
2404.4072948328267,2404.4072948328267
2520.4477611940297,2520.4477611940297
2520.4477611940297,2520.4477611940297
2601.951951951952,2601.951951951952
2605.421686746988,2605.421686746988
2585.223880597015,2585.223880597015
2592.0895522388064,2592.0895522388064
2707.0149253731347,2707.0149253731347
2714.985163204748,2714.985163204748
2863.0952380952376,2863.0952380952376
2854.5045045045044,2854.5045045045044
2954.5045045045044,2954.5045045045044
3081.0240963855417,3081.0240963855417
3090.6060606060605,3090.6060606060605
3171.148036253776,3171.148036253776
3186.253776435045,3186.253776435045
3178.484848484848,3178.484848484848
3131.927710843373,3131.927710843373
3135.3293413173656,3135.3293413173656
3224.2514970059883,3224.2514970059883
3287.0149253731347,3287.0149253731347
3347.604790419162,3347.604790419162
3506.7567567567567,3506.7567567567567
3559.1463414634145,3559.1463414634145
3609.756097560976,3609.756097560976
3731.0240963855417,3731.0240963855417
3782.634730538922,3782.634730538922
3835.498489425982,3835.498489425982
3841.265060240964,3841.265060240964
3834.1317365269465,3834.1317365269465
3830.722891566265,3830.722891566265
3830.722891566265,3830.722891566265
3977.2189349112423,3977.2189349112423
3978.059701492537,3978.059701492537
4077.794561933534,4077.794561933534
4206.156156156156,4206.156156156156
4233.483483483484,4233.483483483484
4326.276276276276,4326.276276276276
4321.084337349397,4321.084337349397
4410.66066066066,4410.66066066066
4406.88622754491,4406.88622754491
4393.161094224924,4393.161094224924
4392.424242424242,4392.424242424242
4520.359281437126,4520.359281437126
4563.595166163142,4563.595166163142
4627.272727272727,4627.272727272727
4680.930930930931,4680.930930930931
4746.706586826347,4746.706586826347
4843.731343283583,4843.731343283583
4928.93175074184,4928.93175074184
4980.26706231454,4980.26706231454
4971.021021021021,4971.021021021021
4995.209580838324,4995.209580838324
5003.153153153153,5003.153153153153
5017.867867867868,5017.867867867868
5026.047904191617,5026.047904191617
5029.696969696969,5029.696969696969
5014.350453172206,5014.350453172206
5011.077844311378,5011.077844311378
5017.371601208459,5017.371601208459
5017.371601208459,5017.371601208459
5013.880597014925,5013.880597014925
5012.424242424242,5012.424242424242
5008.734939759036,5008.734939759036
5042.215568862276,5042.215568862276
5009.580838323353,5009.580838323353
5005.255255255255,5005.255255255255
5056.824925816024,5056.824925816024
5056.824925816024,5056.824925816024
5529.525222551929,5529.525222551929
5837.833827893175,5837.833827893175
6285.285285285285,6285.285285285285
7349.112426035504,7349.112426035504
7841.839762611276,7841.839762611276
8577.893175074183,8577.893175074183
9007.738095238095,9007.738095238095
9684.615384615385,9684.615384615385
10415.56886227545,10415.56886227545
10587.721893491123,10587.721893491123
10858.407079646018,10858.407079646018
11370.870870870873,11370.870870870873
11797.032640949554,11797.032640949554
12171.940298507465,12171.940298507465
12656.456456456455,12656.456456456455
13269.069069069068,13269.069069069068
14445.386904761905,14445.386904761905
14833.333333333334,14833.333333333334
15520.958083832336,15520.958083832336
16316.56804733728,16316.56804733728
16386.22754491018,16386.22754491018
16775.449101796406,16775.449101796406
16732.835820895525,16732.835820895525
16895.209580838324,16895.209580838324
17000.0,17000.0
17303.625377643504,17303.625377643504
17385.542168674696,17385.542168674696
18163.663663663665,18163.663663663665
18163.663663663665,18163.663663663665
18910.876132930516,18910.876132930516
19491.017964071856,19491.017964071856
19562.686567164183,19562.686567164183
20239.644970414203,20239.644970414203
20502.95857988166,20502.95857988166
20591.445427728617,20591.445427728617
20789.940828402367,20789.940828402367
20632.13213213213,20632.13213213213
20926.03550295858,20926.03550295858
21237.313432835825,21237.313432835825
21490.99099099099,21490.99099099099
21743.243243243243,21743.243243243243
21971.299093655587,21971.299093655587
22128.398791540785,22128.398791540785
22391.238670694864,22391.238670694864
22550.74626865672,22550.74626865672
22523.88059701493,22523.88059701493
22547.904191616766,22547.904191616766
22437.5,22437.5
22836.36363636364,22836.36363636364
23162.65060240964,23162.65060240964
23497.014925373136,23497.014925373136
23383.582089552237,23383.582089552237
23346.38554216867,23346.38554216867
23247.720364741643,23247.720364741643
23378.78787878788,23378.78787878788
23503.02114803625,23503.02114803625
23057.86350148368,23057.86350148368
23057.86350148368,23057.86350148368
22242.42424242424,22242.42424242424
22545.454545454544,22545.454545454544
22647.147147147145,22647.147147147145
23014.792899408283,23014.792899408283
22884.615384615387,22884.615384615387
22923.88059701493,22923.88059701493
23220.72072072072,23220.72072072072
23343.84384384384,23343.84384384384
23676.470588235294,23676.470588235294
23668.14159292036,23668.14159292036
23579.881656804733,23579.881656804733
23715.976331360947,23715.976331360947
23750.737463126847,23750.737463126847
23500.0,23500.0
23275.147928994083,23275.147928994083
23067.64705882353,23067.64705882353
22828.358208955226,22828.358208955226
22511.940298507467,22511.940298507467
22485.029940119763,22485.029940119763
21995.522388059704,21995.522388059704
21934.131736526942,21934.131736526942
