/ && GET,/login && GET,/customers && GET,/category.html && GET,/detail.html?id={} && GET,/cart && DELETE,/cart && POST,/basket.html && GET,avg,unknown
6254.908032541882,9500.0,9306.897428446899,9000.0,8715.210014173572,8982.545456798998,8997.90942837893,9250.000000000002,8176.933307436497,555.5103661616158
6269.324655917538,9500.0,9323.460692688292,9000.0,8717.8645507201,8979.60536577757,8992.560535536844,9250.0,8255.204392013464,584.473042929293
9250.095723251598,17333.333333333336,22003.05962951877,22000.0,15333.588562762412,13201.224788657411,14568.960517245494,9200.000000000004,9867.50146652378,705.9266435185191
9258.305573062029,17333.333333333343,22241.689864090393,22000.0,15355.23894330662,13302.892994074586,14365.95534723078,9200.000000000004,9912.705715045213,741.2768055555553
9264.976895524025,17333.333333333314,22406.248551430035,22000.000000000004,15372.489798349863,13380.868847384198,14212.715337467827,9200.0,9949.199538770055,776.2558796296298
10023.849061561461,21000.0,22104.931088677993,26194.027035523424,19744.770519001257,19828.649677389414,21371.3984383438,9166.666666666664,17005.630614678474,891.4930929487173
10052.952447308808,21000.0,22222.83480352847,26379.837676206753,19720.565597251534,19862.518456021928,21323.969367747344,9166.666666666668,17309.127225944998,930.171180555556
10866.817525302265,22222.22222222223,22438.53891757506,26817.457963541787,18488.971488966963,22478.904696621667,22144.360526352193,9642.857142857143,19071.84405534054,1072.8513711690487
10887.616942328203,22222.22222222222,22517.69923769924,26907.78294091342,18465.316657219006,22496.45651481897,22124.425487971617,9642.857142857141,19276.842374900905,1138.500495061305
14601.633115962592,23857.14285714286,25095.118178220673,26807.798345805437,19597.415910498057,24001.486620416254,22435.538904542223,11333.333333333325,20766.182443433034,1291.5033650566331
14613.977679286587,23857.142857142855,25126.121711027372,26863.045052198893,19577.903486877003,24012.60245270229,22420.909871640433,11333.3333333333,20875.841046244946,1337.7017983936207
14625.085383891364,23857.142857142866,25152.84724265307,26907.76943759803,19560.376926991732,24022.424801907837,22408.03366872787,11333.333333333325,20972.95527859037,1378.9800870614315
15674.022829195237,24117.64705882353,25020.71287270835,26835.037096366246,21043.219239779413,24915.16681182054,22093.55214782356,20285.71428571429,21778.978156082634,1487.4626023160117
15681.883580575057,24117.64705882354,25042.192808220618,26869.844365490073,21030.047861232597,24921.575891154815,22081.226796338942,20285.71428571429,21841.68801425996,1517.2803403585083
18708.888939424236,25405.358074999578,25153.373628798385,26592.245201022037,22536.003923695847,25330.379179349235,23429.483538910517,20000.000000000007,22878.056812013616,1604.1190788841561
18713.809348057483,25437.94562406958,25170.239333061014,26624.75006960087,22526.740547700043,25328.87094965804,23422.231923754764,20000.000000000007,22915.957596423315,1626.9626043532953
20723.19979247483,25885.431176601844,25004.713783425883,26106.498326845773,23816.06202341547,25250.656684761096,24266.857499023754,22400.0,23835.316027731147,1942.3668343003487
20727.11933758319,25894.716156132552,25019.01561520716,26140.10614749877,23809.54503757185,25248.82090431101,24261.36298530067,22400.0,23859.080833939923,1959.9179546899602
21000.000000000004,25722.357049840182,25800.190730904265,26581.153104699577,23891.767795724758,25602.262967592855,24263.05740142298,22400.000000000004,24224.70768054857,2104.768449850646
20195.590314753063,24867.471234870405,25703.930807481916,26533.520017720217,22737.83741410441,25600.85932915067,23567.40378587228,22188.768046366276,23448.934682554733,2095.4335816981547
