/category.html && GET,/customers && GET,/detail.html?id={} && GET,avg,unknown
4498.291403370278,8780.056073706186,4492.565035802841,4981.901517560933,2005.0000000000005
4498.110287095125,8780.287845864243,4493.093187168999,4982.33478774586,2005.0000000000005
4471.715404625202,8671.773024063297,4471.9835826587,4940.908863205853,2005.0000000000005
4471.5379718198965,8671.992125203415,4472.458475570493,4941.289683578107,2005.0000000000005
4396.881803922181,8556.032313640051,4428.972580112322,4898.4555148517165,2050.0000000000005
4397.637119259787,8556.238544289787,4429.414758379686,4898.795803511255,2050.0000000000005
4400.19362176613,8436.570241268015,4438.3621891299335,4871.070117595862,2075.0000000000005
4400.867351394424,8436.768573847097,4438.749814395527,4871.375780275245,2075.0000000000005
4401.497186587448,8436.95462142482,4439.1121853285,4871.662509774573,2075.0000000000005
4368.200962487033,8343.41714459741,4408.421696800463,4844.544384829598,2087.5
4368.814309615513,8343.600758668219,4408.776032347214,4844.809837882215,2087.5
4340.170280530124,8317.16417910448,4364.624650727519,4815.023140431907,2107.6923076923076
4352.3131672597865,8317.16417910448,4377.4447742601915,4829.050279329608,2107.6923076923076
4320.77205882353,8270.992366412213,4322.727272727274,4809.838895281934,2075.0000000000005
4320.77205882353,8270.992366412213,4322.727272727274,4809.838895281934,2075.0000000000005
4320.77205882353,8270.992366412213,4322.727272727274,4809.838895281934,2075.0000000000005
4231.327800829876,8120.0,4271.3178294573645,4778.436018957345,2022.7272727272725
4231.327800829876,8120.0,4271.3178294573645,4778.436018957345,2022.7272727272725
4112.903225806451,7845.454545454546,4169.527896995708,4707.309582309583,2022.7272727272725
4112.903225806451,7845.454545454546,4169.527896995708,4707.309582309583,2022.7272727272725
3955.8823529411775,7212.643678160918,4032.5,4604.658792650918,2022.7272727272725
3955.8823529411775,7212.643678160918,4032.5,4604.658792650918,2022.7272727272725
3958.8824357396943,6995.345682495696,4048.654558420908,4563.666825690146,1923.4220000000005
3967.0205756256505,7005.082259146162,4058.92713279391,4566.447720352764,1910.938333333333
4076.0493719008537,7372.300037402544,4139.495433722538,4613.082448105906,1955.1181062727424
4052.9203882972074,7300.145820046961,4091.6629396016597,4589.905449734273,1900.8135875631754
4039.598856958146,7486.192134855767,4064.352115998693,4605.674476721104,1927.2937349178842
3959.262384531814,7257.4877277822225,3988.2777972294875,4551.562140853631,1874.656853008254
3981.3634541085207,7334.037264387834,4007.5349281041704,4564.332669334279,1879.2361782791952
3967.0553686609273,7075.033999232424,4016.450824606551,4534.32928968017,1966.0831015505742
3990.242446712686,7152.259589900728,4037.8018924303988,4547.847641985603,1973.7486508961588
4069.66634007749,7371.740317055331,4087.863595468507,4581.361158674057,1969.438788358456
3980.158504252251,6963.622153886594,4001.1801157602404,4516.734231031676,1921.1478066283423
3939.4753860153696,6943.9079772331115,3951.1107461662928,4511.81493868998,1884.9630105136262
3931.8207472231206,6579.86950412036,3934.8941885946924,4473.568309049257,1836.8260499103178
3821.155369387771,6222.235485989157,3845.4341850323526,4420.876734601949,1770.4528062922982
3826.4907654445105,6302.109775362742,3830.870629985694,4405.158525101256,1693.4623643837283
3842.648255826535,6397.486773195467,3844.711517769932,4414.060641727372,1691.6180923586362
3703.998744097825,4988.196132528761,3667.106473663993,4304.159605979126,1437.8732458411425
