/category.html && GET,/customers && GET,/detail.html?id={} && GET,avg,unknown
4201.680672268907,7312.499999999999,4207.291666666668,4667.439165701042,1862.500000000001
4201.680672268907,7312.499999999999,4207.291666666668,4667.439165701042,1862.500000000001
4201.680672268907,7312.499999999999,4207.291666666668,4667.439165701042,1862.500000000001
4044.0476190476184,6693.333333333334,4042.857142857143,4587.202380952381,1771.4285714285716
4044.0476190476184,6693.333333333334,4042.857142857143,4587.202380952381,1771.4285714285716
4033.6538461538466,5629.310344827586,4015.8536585365855,4543.263646922184,1625.0
4033.6538461538466,5629.310344827586,4015.8536585365855,4543.263646922184,1625.0
3967.0050761421326,5324.074074074073,3946.8911917098435,4516.071428571428,1650.000000000001
3967.0050761421326,5324.074074074073,3946.8911917098435,4516.071428571428,1650.000000000001
3826.704545454547,4951.041666666667,3714.7239263803667,4452.686202686203,1625.0
3826.704545454547,4951.041666666667,3714.7239263803667,4452.686202686203,1625.0
3731.818181818183,4925.051334702259,3570.9459459459467,4417.5,1449.9999999999998
3731.818181818183,4925.051334702259,3524.4894894894896,4398.666478996425,1449.9999999999998
3656.4516129032254,4864.345114345115,3415.616567460316,4336.120688736084,1187.500000000001
3771.8096728055743,4882.871042794119,3572.018443739682,4367.261138251267,1365.7913649179068
3800.148340516592,4888.089376899806,3588.877279042128,4368.12826937448,1431.8061769095902
3680.8791568426705,4895.346116899262,3447.8475539774963,4325.4640545846805,1310.7980857411385
3899.4876099481653,5410.493268538083,3614.6010521819526,4413.422358870016,1382.4355991496916
3844.8893824942843,5206.42541725707,3513.7192624148583,4367.480188808584,1416.9673537854803
3830.2743973954935,5889.874746843094,3619.547332312925,4415.078769714911,1470.9582593170364
3865.319451968533,6233.621616767502,3666.901214040463,4418.196192370731,1348.3718845221892
3852.596239363854,6167.516787588629,3704.0123799786616,4427.170553563565,1408.454168349179
3735.748339213406,6128.681872851305,3527.991428326154,4374.932355107841,1461.865353970865
3819.844193047303,6414.359455161721,3645.959106238046,4422.129989133678,1688.8950840121715
3835.1462382207083,6489.182441670673,3617.4080360850203,4403.362471408097,1642.4701370887997
3887.2699220333334,6406.969327188168,3683.1421438825605,4420.750674916082,1658.5263065225413
3916.9574049815374,6563.002638458738,3720.537832412412,4437.1377732896835,1691.635804876198
3733.8661569974806,6042.333110170965,3463.1226825271015,4368.446282151188,1386.591882849117
3767.565572371798,6207.219279842355,3507.1218133145353,4385.273920323592,1435.4800287374437
3766.7491550644727,6314.773105515056,3491.8245696634385,4371.543562865043,1479.1161317542478
3776.7224641267685,6017.717514085736,3546.336318751532,4363.451818974283,1378.8942052952593
3659.7759171443004,5961.692154781194,3404.4400423953325,4307.568145707941,1439.0564603516038
3582.0144816456022,5731.616614255507,3359.277267511895,4292.5105276288705,1345.813142081797
3616.524734511124,5903.817231047108,3411.282589931302,4282.093639082752,1360.7899235573423
3554.063594272746,5546.65372956317,3318.2985471029538,4260.064848453008,1271.481324260945
3599.2423006517797,5730.0450130157815,3386.0049901580696,4259.167897424617,1305.8300035120535
3651.5165876082883,5684.650978425043,3450.4217036564523,4281.075279058234,1380.771598726825
3679.2883170056657,5798.200288350072,3485.2599527041966,4296.223744555158,1408.5130481505444
3635.3080996676927,5559.845382179366,3389.362137961933,4250.443977421912,1337.370985143833
3659.6506849189013,5660.992528428213,3421.9309832946674,4264.946942366625,1363.138852820389
3687.2195625427466,5859.9224625430015,3461.8138026837423,4253.54729406728,1386.9645615927245
3676.7713956467396,5594.332861226852,3461.998947261242,4247.517430151349,1299.708355630978
3651.057380670276,5751.4501386981265,3457.949014212796,4222.866670565592,1341.21038636857
3576.439118030303,5461.0430441904555,3361.2358322121936,4181.167421461518,1275.5881549070725
3601.237482868948,5571.96416585474,3403.5498974888164,4167.736926087877,1278.233252133007
3532.8834158303043,5290.259465831457,3316.5968768533494,4136.073124259134,1232.609505337558
3547.677241723141,5478.86642858809,3381.243220275943,4113.143224173133,1272.0451406208044
3468.9675718473923,5226.329002411414,3289.891817877431,4084.063716300827,1191.5862576732861
3489.0357819760934,5293.871780276057,3314.013010868074,4099.236215814922,1210.6280736838298
3304.510877022994,5049.345612370821,3235.774942611998,4032.676496084376,1150.693056943056
3363.636363636365,5111.922236634563,3308.4239130434803,4074.848580246912,1193.065770341179
3347.5935828877023,5327.380952380951,3309.782608695654,4056.7322239031764,1206.2499999999984
3192.1965317919085,5006.172839506176,3112.2754491017977,3995.32710280374,1021.4285714285702
3179.1907514450863,4985.099337748345,3095.8083832335333,3980.1401869158894,1021.4285714285702
2784.965034965037,4827.881619937696,2767.3611111111118,3831.41447368421,980.0
2765.734265734267,4823.208722741434,2750.000000000003,3820.312499999999,980.0000000000002
2492.021276595745,4687.869822485207,2471.5957446808516,3681.8568994889247,952.5
2486.5957446808507,4681.952662721893,2467.446808510638,3665.6729131175503,952.5
2442.847409572524,4619.172571819427,2412.283412736996,3556.801211994569,930.9485714285715
2442.847409572525,4619.172571819427,2412.283412736996,3556.8012119945683,930.9485714285715
2356.508875739645,4500.740425815877,2333.4302325581384,3289.9408284023666,883.3333333333333
2356.508875739645,4500.733137829912,2333.4302325581393,3289.9408284023684,883.3333333333333
2349.408284023669,4488.269794721407,2332.8488372093025,3268.7376725838267,883.3333333333333
2273.076923076924,4411.676646706586,2261.712598425197,3001.6519823788512,852.5
2269.5266272189347,4401.946107784432,2256.6929133858266,2978.5242290748906,852.5
2243.636363636363,4310.665600110936,2242.110655737705,2791.6666666666633,836.1111111111111
2239.0909090909095,4307.877813504822,2238.729508196722,2775.234741784035,836.1111111111111
