/ && GET,avg
666.8561206409912,666.8561206409912
607.1152623306828,607.1152623306828
606.7017668283893,606.7017668283893
606.3208703986116,606.3208703986116
544.3564018209225,544.3564018209225
543.9127059855876,543.9127059855876
495.5465588576235,495.5465588576235
495.44330408988526,495.44330408988526
481.6615548505672,481.6615548505672
481.56914472045435,481.56914472045435
499.0916174681612,499.0916174681612
499.00808883540117,499.00808883540117
498.92798951736245,498.92798951736245
497.5168397514606,497.5168397514606
497.44693199197695,497.44693199197695
661.272337380346,661.272337380346
661.119262132015,661.119262132015
796.9314013599062,796.9314013599062
796.8913230799474,796.8913230799474
856.7870434854472,856.7870434854472
857.2797022453938,857.2797022453938
827.0500448768221,827.0500448768221
801.5081760532071,801.5081760532071
807.1476985015995,807.1476985015995
811.8892355665006,811.8892355665006
820.4740002190752,820.4740002190752
846.7084304908823,846.7084304908823
850.855654093084,850.855654093084
864.9295291103222,864.9295291103222
863.6020528100444,863.6020528100444
872.8311212855135,872.8311212855135
889.6953697834422,889.6953697834422
879.3411330237248,879.3411330237248
899.9300456211805,899.9300456211805
906.4768007824666,906.4768007824666
924.3688059113936,924.3688059113936
926.957050383457,926.957050383457
949.5356243729332,949.5356243729332
945.3231822723334,945.3231822723334
945.9534893536045,945.9534893536045
962.8894909641713,962.8894909641713
957.5502475933138,957.5502475933138
990.307371394073,990.307371394073
996.7522330627835,996.7522330627835
1085.43080095364,1085.43080095364
1075.968709635861,1075.968709635861
1127.6882684331272,1127.6882684331272
1103.6690021488243,1103.6690021488243
1062.9312163868988,1062.9312163868988
989.455458699249,989.455458699249
982.3125774313974,982.3125774313974
983.0388979070572,983.0388979070572
978.0298877167324,978.0298877167324
913.8223520102681,913.8223520102681
912.3416659611535,912.3416659611535
846.9584094728247,846.9584094728247
839.2133300254166,839.2133300254166
822.1615203937885,822.1615203937885
780.0872663892078,780.0872663892078
763.0428884803315,763.0428884803315
727.4409344451103,727.4409344451103
702.9076855910489,702.9076855910489
645.33354925023,645.33354925023
625.23397353574,625.23397353574
498.18248042817197,498.18248042817197
495.09735744089016,495.09735744089016
490.4978962131838,490.4978962131838
486.8620689655173,486.8620689655173
481.9350473612989,481.9350473612989
479.4253632760897,479.4253632760897
479.43121693121697,479.43121693121697
476.9576379974326,476.9576379974326
477.1419437340154,477.1419437340154
482.91614518147685,482.91614518147685
483.55099502487553,483.55099502487553
488.1178707224335,488.1178707224335
483.97435897435895,483.97435897435895
482.67994858611814,482.67994858611814
490.4929577464789,490.4929577464789
492.40506329113924,492.40506329113924
489.80793060718713,489.80793060718713
491.0209102091022,491.0209102091022
496.5632603406324,496.5632603406324
498.201219512195,498.201219512195
499.38957373428696,499.38957373428696
499.90643932151784,499.90643932151784
538.888888888889,538.888888888889
595.0199203187246,595.0199203187246
596.2301587301587,596.2301587301587
596.0474308300397,596.0474308300397
597.6377952755909,597.6377952755909
607.6304098341681,607.6304098341681
606.2247801717806,606.2247801717806
621.0526315789473,621.0526315789473
639.4841269841272,639.4841269841272
648.2558139534885,648.2558139534885
659.0909090909089,659.0909090909089
649.4186046511625,649.4186046511625
634.800226679246,634.800226679246
632.1287617156584,632.1287617156584
639.5141298958852,639.5141298958852
633.2,633.2
631.3999999999999,631.3999999999999
627.5999999999999,627.5999999999999
624.8000000000001,624.8000000000001
613.1147540983616,613.1147540983616
612.7049180327875,612.7049180327875
610.4508196721314,610.4508196721314
608.6065573770494,608.6065573770494
649.4252873563225,649.4252873563225
660.0378787878791,660.0378787878791
641.699604743084,641.699604743084
587.4458874458884,587.4458874458884
565.1982378854639,565.1982378854639
567.5324675324676,567.5324675324676
561.4035087719302,561.4035087719302
488.5483870967739,488.5483870967739
488.5483870967739,488.5483870967739
480.2536231884057,480.2536231884057
469.0959409594095,469.0959409594095
456.7460317460316,456.7460317460316
417.15909090908997,417.15909090908997
391.1249999999999,391.1249999999999
362.71428571428544,362.71428571428544
340.9763313609471,340.9763313609471
246.69871794871804,246.69871794871804
246.69871794871804,246.69871794871804
243.15602836879455,243.15602836879455
242.8117359413204,242.8117359413204
242.65382334101312,242.65382334101312
235.282266320474,235.282266320474
227.98390770878984,227.98390770878984
221.38268980628635,221.38268980628635
218.4659040206659,218.4659040206659
209.6685878962535,209.6685878962535
207.1739130434782,207.1739130434782
214.2751479289941,214.2751479289941
217.2238805970151,217.2238805970151
210.9523809523812,210.9523809523812
202.26804123711315,202.26804123711315
204.72924187725616,204.72924187725616
213.86617100371745,213.86617100371745
216.74157303370808,216.74157303370808
217.90000000000003,217.90000000000003
221.20967741935453,221.20967741935453
235.60728744939294,235.60728744939294
234.67937161988166,234.67937161988166
220.3862660944203,220.3862660944203
217.86637931034494,217.86637931034494
215.99547511312213,215.99547511312213
215.02336448598152,215.02336448598152
204.42028985507275,204.42028985507275
189.62871287128718,189.62871287128718
195.0000000000002,195.0000000000002
210.378787878788,210.378787878788
209.1752577319587,209.1752577319587
196.692307692308,196.692307692308
194.23076923076928,194.23076923076928
187.34848484848493,187.34848484848493
183.23076923076928,183.23076923076928
173.99484536082474,173.99484536082474
158.9682539682541,158.9682539682541
165.31250000000023,165.31250000000023
181.14361702127619,181.14361702127619
181.61290322580652,181.61290322580652
168.51351351351343,168.51351351351343
163.3606557377051,163.3606557377051
162.91428571428546,162.91428571428546
167.01754385964898,167.01754385964898
171.38532901139706,171.38532901139706
178.41746824584857,178.41746824584857
183.23529411764696,183.23529411764696
187.3469387755107,187.3469387755107
182.50000000000023,182.50000000000023
171.76923076923038,171.76923076923038
166.3281250000001,166.3281250000001
178.15126050420187,178.15126050420187
182.24576271186493,182.24576271186493
175.6637168141595,175.6637168141595
153.08823529411737,153.08823529411737
145.30303030303017,145.30303030303017
159.536082474227,159.536082474227
153.68421052631618,153.68421052631618
117.32142857142875,117.32142857142875
115.18292682926833,115.18292682926833
113.1506849315076,113.1506849315076
106.12676056338108,106.12676056338108
118.04347826086985,118.04347826086985
135.30769230769283,135.30769230769283
151.09375000000017,151.09375000000017
171.06557377049242,171.06557377049242
153.30357142857167,153.30357142857167
99.84636871508381,99.84636871508381
103.57142857142883,103.57142857142883
111.71875000000033,111.71875000000033
117.06896551724145,117.06896551724145
137.14285714285734,137.14285714285734
169.37500000000017,169.37500000000017
233.74999999999972,233.74999999999972
553.8461538461542,553.8461538461542
716.6666666666671,716.6666666666671
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
950.0,950.0
3750.0,3750.0
3805.5555555555547,3805.5555555555547
2895.1612903225778,2895.1612903225778
2895.1612903225778,2895.1612903225778
2417.069486404834,2417.069486404834
2404.691689008043,2404.691689008043
2341.990291262136,2341.990291262136
2306.8493150684935,2306.8493150684935
2268.5995623632384,2268.5995623632384
2215.031315240082,2215.031315240082
2176.3319672131147,2176.3319672131147
2119.461077844312,2119.461077844312
2101.284584980237,2101.284584980237
2023.5465116279072,2023.5465116279072
2023.5465116279072,2023.5465116279072
2009.9827882960417,2009.9827882960417
2007.537688442211,2007.537688442211
2003.095238095238,2003.095238095238
1991.071304961748,1991.071304961748
2003.0323820415183,2003.0323820415183
