avg,unknown
1606.5217391304357,1606.5217391304357
2441.304347826086,2441.304347826086
2441.304347826086,2441.304347826086
2113.586956521739,2113.586956521739
2113.586956521739,2113.586956521739
2014.4876325088328,2014.4876325088328
2014.4876325088353,2014.4876325088353
2014.4876325088353,2014.4876325088353
1909.2436974789912,1909.2436974789912
1909.2436974789912,1909.2436974789912
1826.2352941176466,1826.2352941176466
1826.2352941176468,1826.2352941176468
1890.280210157617,1890.280210157617
1890.280210157619,1890.280210157619
1834.3894899536317,1834.3894899536317
1834.3894899536322,1834.3894899536322
1873.0769230769238,1873.0769230769238
1873.0769230769233,1873.0769230769233
1873.0769230769229,1873.0769230769229
1869.0129889058235,1869.0129889058235
1862.6820345987894,1862.6820345987894
1823.1475249725117,1823.1475249725117
1825.6411937412508,1825.6411937412508
1789.5689801847334,1789.5689801847334
1720.3094411835445,1720.3094411835445
1658.357182172808,1658.357182172808
1595.9449181146415,1595.9449181146415
1538.0692116343275,1538.0692116343275
1509.732550416812,1509.732550416812
1456.516501455012,1456.516501455012
1426.5179359481006,1426.5179359481006
1370.4786427925246,1370.4786427925246
1351.331886537156,1351.331886537156
1273.8868822625818,1273.8868822625818
1206.7282449746313,1206.7282449746313
1124.8269595652903,1124.8269595652903
1089.965467650165,1089.965467650165
1046.116071550014,1046.116071550014
972.9251790024208,972.9251790024208
964.3648062945174,964.3648062945174
932.7991169641402,932.7991169641402
926.1642058115764,926.1642058115764
881.8571863127008,881.8571863127008
868.3675009148526,868.3675009148526
821.7881568298303,821.7881568298303
806.4744869982206,806.4744869982206
770.4030122788355,770.4030122788355
757.6468795014359,757.6468795014359
675.3796624294871,675.3796624294871
662.8668388505049,662.8668388505049
601.1784170236548,601.1784170236548
587.7821189964054,587.7821189964054
580.3531422560538,580.3531422560538
480.75062318385534,480.75062318385534
477.7825413681443,477.7825413681443
432.9726746498807,432.9726746498807
408.53895978436884,408.53895978436884
386.2329738980919,386.2329738980919
348.7032591497782,348.7032591497782
331.38342356898545,331.38342356898545
319.3864504567919,319.3864504567919
326.49473924199714,326.49473924199714
326.7240797284383,326.7240797284383
331.07175344235765,331.07175344235765
316.27791432614106,316.27791432614106
298.1420149620498,298.1420149620498
281.2386428625239,281.2386428625239
256.02214902240087,256.02214902240087
247.90422506351274,247.90422506351274
247.02733327415876,247.02733327415876
250.31339770573655,250.31339770573655
253.40196728008468,253.40196728008468
248.21338232052017,248.21338232052017
244.58352670287218,244.58352670287218
242.01844754935104,242.01844754935104
239.86384390971023,239.86384390971023
239.86584324624093,239.86584324624093
241.51181813553356,241.51181813553356
245.42559066474433,245.42559066474433
247.83822252303577,247.83822252303577
251.6888583321939,251.6888583321939
255.03301760525892,255.03301760525892
261.1699618228105,261.1699618228105
263.25965827913046,263.25965827913046
266.2895029648383,266.2895029648383
256.0256031781372,256.0256031781372
263.829646204131,263.829646204131
299.14970208179096,299.14970208179096
300.7717956693529,300.7717956693529
297.6977205387229,297.6977205387229
311.23448976717447,311.23448976717447
