avg,o1
339.6765753594131,0
336.2894917478866,0
384.922649419368,0
381.8948715314905,0
433.335122258119,0
417.7365831759005,0
412.43764343696927,0
489.746792544044,0
489.746792544044,0
513.4368712188787,0
494.9234611171683,0
508.7148518229724,0
504.7809540862908,0
486.4449341469768,0
625.1324337968056,0
625.1324337968056,0
639.0595022175493,0
689.3460095115231,0
709.4585697938998,0
732.0838016570807,0
725.0702541773929,0
766.1411189521638,0
757.3991167882174,0
792.4628778269484,0
763.2417062022511,0
776.9833129411047,0
800.0,0
800.0,0
791.2082159344845,0
791.2082159344845,0
755.2755329442897,0
762.8733243847101,0
756.0389760726075,0
800.0,0
800.0,0
763.714260656606,0
756.2717731458998,0
797.0881208838921,0
797.0881208838921,0
797.413435791501,0
797.6151575902209,0
797.709316425481,0
799.6677259549025,0
756.6610938452914,0
769.146201452488,0
762.10595923497,0
799.9264194868499,0
799.9264194868499,0
800.1859948566479,0
799.9310152915757,0
799.9310152915757,0
762.764391713082,0
800.0,0
768.8392348980743,0
770.7760261506623,0
772.5780858369983,0
772.9491622927136,0
800.1492169348445,0
800.0140507135421,0
769.4947664215316,0
800.2744949307992,0
796.0223137715467,0
768.835574893162,0
777.5649803104845,0
770.4086181294784,0
772.3983601925183,0
800.1633319938327,0
800.1924656275309,0
800.1924656275309,0
800.0128921253624,0
771.3278677682094,0
800.0,0
799.8003469915169,0
799.8003469915169,0
799.8502339952076,0
771.2211900144102,0
763.7435387127659,0
756.1366446280053,0
786.1446953176442,0
800.1479504726808,0
768.0326547553218,0
769.1999818517603,0
761.954646057837,0
760.0298404537667,0
790.6115306195779,0
746.4735454271848,0
762.5982403284074,0
755.504823432803,0
799.7133643568894,0
799.6800904413979,0
799.9716347265676,0
799.9841186240637,0
763.1286615182114,0
800.2425739566705,0
800.2281751555834,0
800.421828412274,0
767.6111805400692,0
770.4184969367847,0
763.2823359095629,0
756.136984191133,0
800.11020355662,0
800.2779904031763,0
800.4435377169455,0
766.9543107690162,0
800.3436222394124,0
800.3436222394124,0
763.255223815718,0
757.4645904911595,0
750.335802429927,0
799.618260513054,0
799.618260513054,0
799.618260513054,0
799.5475965241956,0
799.5475965241958,0
767.2817819198157,0
794.8899363440074,0
799.8052286912293,0
799.8052286912293,0
799.8463474802849,0
799.8463474802849,0
799.8739685977232,0
762.5120009766633,0
800.0,0
760.5720977804742,0
753.4842378037055,0
799.7978775736141,0
769.0414790017999,0
769.7079217226966,0
800.0,0
751.4020915400663,0
800.5749175553306,0
800.5749175553306,0
772.7892754287939,0
765.4829710213837,0
756.9871529709321,0
798.5176910518646,0
751.6934427732923,0
800.0,0
785.6481769114944,0
799.7940289534005,0
768.9377375223985,0
761.0093706335877,0
753.9014516177151,0
800.0,0
799.5224928421025,0
799.5224928421025,0
799.4777669316045,0
799.4777669316045,0
799.30313317347,0
799.3498276489466,0
762.0180149887807,0
799.0420336969822,0
799.0420336969822,0
799.1333333298015,0
799.1333333298015,0
763.0605123714754,0
768.2450890952659,0
782.9561540587758,0
765.0774861823717,0
772.1670400649576,0
799.8793931069737,0
760.09475963567,0
800.0,0
774.7268646892373,0
773.6673081378883,0
796.2815482281808,0
796.4844468772516,0
774.5274435565553,0
767.3922483432199,0
760.2069698691449,0
769.911956787741,0
800.0,0
800.1994228423554,0
800.1994228423554,0
771.8049467088629,0
799.9953622891408,0
799.9953622891408,0
800.0254430265472,0
769.3967540491143,0
762.2682442090369,0
732.9482062549469,0
800.0,0
788.1236289423249,0
773.9059302438899,0
799.9221169247769,0
800.1030174033327,0
799.8081375361527,0
767.7207159441514,0
799.6940602723477,0
800.1916050205712,0
763.6591127656208,0
766.9219033037326,0
800.1876994232473,0
800.190552462272,0
800.190552462272,0
800.5222193968156,0
800.3409950989361,0
800.3409950989361,0
800.3110769259604,0
759.4138279852657,0
763.5819513015513,0
770.6210025403889,0
764.6077075377987,0
799.4717468480591,0
799.4717468480591,0
799.569590872032,0
799.569590872032,0
765.4741642277507,0
799.6471668444651,0
799.7729825879958,0
773.896826470475,0
766.8052621354184,0
759.7202454388758,0
752.6448918923288,0
800.2309502441681,0
800.2309321313948,0
798.8504831237033,0
768.4888094386297,0
718.2558228871898,0
771.1267286106421,0
766.3811862613817,0
800.3557266194603,0
800.3557266194603,0
800.2904314713027,0
800.2904314713027,0
800.0608225120627,0
800.515239582609,0
734.643882384193,0
800.2905208019637,0
800.2905208019637,0
800.2905208019637,0
800.1965325592239,0
764.6839625197143,0
732.793173774932,0
754.6627300256343,0
799.541532658407,0
799.541532658407,0
763.7256926021105,0
709.3984807803299,0
771.2999719685542,0
729.081140771627,0
728.9822259312461,0
800.1555340394889,0
800.1555340394888,0
773.9671015082805,0
766.9486465857817,0
800.0359610398854,0
766.460898153019,0
731.5079615623318,0
765.158886877376,0
760.0448920177415,0
799.9291108263262,0
735.3185470356349,0
800.4355205956624,0
800.4177569799878,0
800.4177569799878,0
800.2125654245365,0
800.2125654245363,0
800.2355368245971,0
735.3817620052337,0
