Unnamed: 0,count
2160,75.4
2161,72.75
2162,68.7
2163,74.75
2164,70.05
2165,83.3
2166,68.35
2167,67.95
2168,72.0
2169,71.15
2170,77.25
2171,73.9
2172,70.5
2173,72.65
2174,68.35
2175,72.65
2176,72.3
2177,72.5
2178,70.5
2179,69.0
2180,74.35
2181,63.75
2182,69.1
2183,72.65
2184,67.1
2185,81.5
2186,70.1
2187,70.6
2188,67.2
2189,67.85
2190,72.65
2191,70.1
2192,69.65
2193,68.5
2194,61.85
2195,78.5
2196,72.3
2197,70.9
2198,68.7
2199,69.35
2200,77.85
2201,73.4
2202,74.9
2203,70.9
2204,68.5
2205,79.25
2206,74.0
2207,71.55
2208,70.8
2209,73.9
2210,82.75
2211,72.0
2212,70.8
2213,74.35
2214,69.35
2215,75.75
2216,78.5
2217,69.35
2218,73.15
2219,70.1
2220,73.4
2221,77.0
2222,69.75
2223,75.75
2224,71.35
2225,81.05
2226,76.5
2227,70.9
2228,72.3
2229,70.2
2230,76.35
2231,77.1
2232,68.9
2233,75.1
2234,64.0
2235,82.25
2236,78.6
2237,74.35
2238,74.35
2239,65.9
2240,77.75
2241,77.75
2242,71.55
2243,67.85
2244,71.15
2245,79.15
2246,77.0
2247,75.1
2248,72.0
2249,69.35
2250,81.4
2251,70.05
2252,73.05
2253,71.55
2254,67.95
2255,90.0
2256,71.55
2257,69.45
2258,68.35
2259,70.95
2260,74.35
2261,67.0
2262,71.35
2263,69.45
2264,67.95
2265,78.1
2266,74.9
2267,72.3
2268,71.55
2269,74.35
2270,75.5
2271,67.85
2272,68.35
2273,71.35
2274,68.5
2275,76.5
2276,64.5
2277,72.3
2278,71.9
2279,68.7
2280,71.7
2281,76.25
2282,68.9
2283,70.8
2284,68.5
2285,73.5
2286,69.65
2287,74.9
2288,80.0
2289,71.55
2290,77.35
2291,72.3
2292,70.1
2293,70.95
2294,71.9
2295,77.85
2296,75.1
2297,73.8
2298,80.65
2299,70.9
2300,76.35
2301,71.25
2302,71.55
2303,72.0
2304,72.75
2305,75.85
2306,76.5
2307,68.25
2308,77.75
2309,77.45
2310,80.65
2311,70.8
2312,67.6
2313,72.0
2314,72.4
2315,73.25
2316,66.75
2317,67.0
2318,75.85
2319,73.15
2320,78.1
2321,72.3
2322,67.95
2323,77.25
2324,72.3
2325,80.0
2326,72.0
2327,71.25
2328,77.85
2329,70.05
2330,75.3
2331,70.1
2332,71.55
2333,68.5
2334,66.85
2335,78.1
2336,68.15
2337,69.85
2338,69.75
2339,73.5
2340,79.55
2341,72.1
2342,72.5
2343,71.15
2344,74.15
2345,75.1
2346,72.3
2347,66.1
2348,75.75
2349,77.85
2350,73.9
2351,72.3
2352,68.9
2353,71.9
2354,70.95
2355,78.85
2356,72.65
2357,74.0
2358,71.9
2359,75.4
2360,79.9
2361,69.3
2362,70.8
2363,76.5
2364,76.7
2365,78.6
2366,71.9
2367,71.35
2368,72.0
2369,73.6
2370,80.1
2371,72.65
2372,73.25
2373,73.6
2374,71.35
2375,78.2
2376,72.85
2377,71.15
2378,72.85
2379,71.7
2380,78.5
2381,79.35
2382,69.45
2383,75.75
2384,77.85
2385,78.95
2386,75.4
2387,74.75
2388,75.75
2389,70.9
2390,78.6
2391,73.8
2392,73.05
2393,74.35
2394,76.5
2395,79.65
2396,75.75
2397,76.7
2398,70.9
2399,72.3
2400,77.65
2401,80.75
2402,73.6
2403,75.5
2404,73.4
2405,89.15
2406,72.4
2407,69.85
2408,68.9
2409,71.55
2410,74.75
2411,70.5
2412,69.35
2413,72.0
2414,70.6
2415,70.5
2416,70.8
2417,68.6
2418,69.1
2419,72.3
2420,71.65
2421,68.7
2422,69.85
2423,77.85
2424,73.25
2425,74.75
2426,70.1
2427,68.5
2428,71.55
2429,73.6
2430,75.1
2431,65.7
2432,71.7
2433,72.65
2434,71.9
2435,73.8
2436,74.65
2437,69.65
2438,76.15
2439,72.65
2440,78.1
2441,71.15
2442,66.75
2443,78.1
2444,70.05
2445,79.55
2446,75.5
2447,74.15
2448,72.5
2449,73.9
2450,77.65
2451,75.6
2452,75.6
2453,68.9
2454,72.5
2455,75.95
2456,73.05
2457,78.6
2458,77.85
2459,70.5
2460,85.35
2461,70.95
2462,70.95
2463,73.05
2464,76.9
2465,79.25
2466,77.85
2467,72.3
2468,75.0
2469,74.65
2470,77.35
2471,75.3
2472,74.9
2473,77.0
2474,78.6
2475,77.75
2476,70.9
2477,71.9
2478,75.1
2479,73.05
2480,78.05
2481,74.65
2482,75.0
2483,74.65
2484,71.65
2485,77.75
2486,72.5
2487,72.75
2488,73.25
2489,69.45
2490,74.65
2491,71.65
2492,72.75
2493,74.35
2494,77.75
2495,74.75
2496,73.25
2497,70.1
2498,75.75
2499,73.8
2500,78.5
2501,76.5
2502,69.35
2503,77.25
2504,73.8
2505,77.65
2506,77.1
2507,73.15
2508,71.35
2509,74.75
2510,82.55
2511,78.6
2512,73.15
2513,71.65
2514,72.5
2515,73.25
2516,73.6
2517,70.9
2518,76.15
2519,72.75
2520,74.55
2521,78.5
2522,73.05
2523,78.8
2524,73.6
2525,77.25
2526,78.8
2527,71.65
2528,73.4
2529,75.1
2530,75.4
2531,71.15
2532,70.4
2533,76.15
2534,67.6
2535,73.05
2536,72.85
2537,77.25
2538,73.6
2539,71.15
2540,75.3
2541,73.05
2542,78.1
2543,73.9
2544,72.3
2545,78.85
2546,72.0
2547,71.25
2548,75.6
2549,72.1
2550,72.0
2551,75.85
2552,71.55
2553,75.1
2554,76.35
2555,83.65
2556,73.8
2557,67.0
2558,69.85
2559,73.6
2560,75.5
2561,71.7
2562,66.0
2563,71.15
2564,68.6
2565,67.5
2566,69.35
2567,67.75
2568,74.0
2569,70.5
2570,72.85
2571,67.6
2572,70.95
2573,72.3
2574,72.4
2575,82.65
2576,75.3
2577,71.9
2578,82.55
2579,68.35
2580,71.55
2581,68.9
2582,74.25
2583,75.3
2584,73.05
2585,72.5
2586,68.15
2587,68.35
2588,72.4
2589,75.85
2590,74.55
2591,70.9
2592,69.75
2593,75.1
2594,68.35
2595,70.9
