avg,unknown
1255.8823529411743,1255.8823529411743
1255.8823529411793,1255.8823529411793
2312.5,2312.5
2312.4999999999986,2312.4999999999986
1922.058823529413,1922.058823529413
1922.0588235294117,1922.0588235294117
1922.0588235294133,1922.0588235294133
1800.9049773755623,1800.9049773755623
1800.904977375566,1800.904977375566
1754.5918367346949,1754.5918367346949
1754.5918367346935,1754.5918367346935
1474.1610738255017,1474.1610738255017
1474.161073825504,1474.161073825504
1285.8490566037747,1285.8490566037747
1285.8490566037735,1285.8490566037735
1285.8490566037726,1285.8490566037726
1280.3149606299205,1280.3149606299205
1280.3149606299205,1280.3149606299205
1090.9209824808863,1090.9209824808863
1087.628830435912,1087.628830435912
1102.0115894841103,1102.0115894841103
1104.4492483735266,1104.4492483735266
1117.5038018745952,1117.5038018745952
1121.40877653625,1121.40877653625
1087.7726348383344,1087.7726348383344
1090.0143767592253,1090.0143767592253
1092.0648892060526,1092.0648892060526
1052.1508166364579,1052.1508166364579
1054.0687320880077,1054.0687320880077
998.3756145599284,998.3756145599284
998.3635332591447,998.3635332591447
990.0436214878162,990.0436214878162
978.7299467137426,978.7299467137426
969.8272167239436,969.8272167239436
963.3122883222253,963.3122883222253
960.9656586622992,960.9656586622992
953.4560022412387,953.4560022412387
953.2125870591705,953.2125870591705
941.3910377028913,941.3910377028913
934.972554967123,934.972554967123
904.2976591916308,904.2976591916308
900.7981924080698,900.7981924080698
871.0848443027614,871.0848443027614
869.8778586218348,869.8778586218348
843.4863955803983,843.4863955803983
846.1165090191249,846.1165090191249
816.6521245975885,816.6521245975885
812.7996770101856,812.7996770101856
792.8208010585637,792.8208010585637
777.0208826996184,777.0208826996184
767.7532409686138,767.7532409686138
743.1949177590769,743.1949177590769
732.3186857703807,732.3186857703807
659.6765106034575,659.6765106034575
654.1883528581113,654.1883528581113
628.0294305806599,628.0294305806599
632.1131687659995,632.1131687659995
561.8155770121888,561.8155770121888
549.5327141465245,549.5327141465245
492.4531034431351,492.4531034431351
507.6176254258876,507.6176254258876
509.78366506404575,509.78366506404575
519.7733199956182,519.7733199956182
549.0892178255508,549.0892178255508
527.573373528017,527.573373528017
535.6581487292025,535.6581487292025
512.5113339106405,512.5113339106405
525.8928020155828,525.8928020155828
548.9383108687916,548.9383108687916
572.5958467515444,572.5958467515444
582.7747129765878,582.7747129765878
588.2035790058892,588.2035790058892
578.8143457599571,578.8143457599571
