,count
663,885
664,750
665,795
666,825
667,795
668,821
669,840
670,998
671,881
672,812
673,908
674,780
675,798
676,819
677,787
678,780
679,787
680,751
681,795
682,765
683,804
684,874
685,911
686,908
687,836
688,870
689,862
690,932
691,787
692,797
693,887
694,714
695,889
696,719
697,821
698,819
699,804
700,821
701,806
702,885
703,798
704,797
705,900
706,736
707,744
708,836
709,721
710,879
711,806
712,827
713,780
714,787
715,896
716,736
717,791
718,797
719,791
720,881
721,780
722,759
723,787
724,750
725,949
726,783
727,798
728,774
729,665
730,744
731,729
732,789
733,740
734,669
735,940
736,736
737,834
738,813
739,601
740,795
741,750
742,734
743,659
744,704
745,806
746,697
747,718
748,742
749,798
750,874
751,849
752,797
753,721
754,714
755,1094
756,665
757,836
758,736
759,812
760,780
761,676
762,751
763,791
764,719
765,866
766,631
767,748
768,689
769,919
770,748
771,877
772,776
773,714
774,712
775,682
776,750
777,776
778,774
779,674
780,780
781,654
782,734
783,740
784,783
785,825
786,761
787,874
788,772
789,733
790,765
791,795
792,751
793,757
794,712
795,721
796,791
797,674
798,684
799,791
800,851
801,787
802,650
803,772
804,665
805,657
806,751
807,616
808,719
809,665
810,761
811,727
812,582
813,744
814,761
815,718
816,797
817,652
818,699
819,706
820,810
821,635
822,759
823,889
824,729
825,742
826,748
827,718
828,750
829,687
830,654
831,744
832,733
833,665
834,665
835,719
836,637
837,712
838,695
839,669
840,695
841,736
842,659
843,819
844,702
845,680
846,733
847,659
848,652
849,734
850,751
851,637
852,637
853,712
854,781
855,748
856,704
857,750
858,750
859,706
860,665
861,682
862,734
863,672
864,695
865,631
866,819
867,695
868,740
869,674
870,787
871,637
872,691
873,608
874,669
875,684
876,736
877,652
878,725
879,652
880,755
881,755
882,644
883,719
884,714
885,684
886,637
887,665
888,691
889,697
890,661
891,652
892,563
893,682
894,638
895,682
896,614
897,665
898,582
899,695
900,584
901,637
902,768
903,748
904,710
905,992
906,680
907,680
908,650
909,622
910,776
911,642
912,548
913,836
914,676
915,676
916,652
917,590
918,563
919,608
920,817
921,582
922,590
923,593
924,638
925,787
926,742
927,575
928,684
929,627
930,687
931,608
932,631
933,575
934,620
935,780
936,642
937,591
938,612
939,744
940,661
941,710
942,569
943,702
944,665
945,759
946,497
947,614
948,605
949,593
950,795
951,571
952,544
953,629
954,616
955,813
956,593
957,652
958,689
959,608
960,669
961,578
962,834
963,584
964,614
965,712
966,561
967,605
968,586
969,622
970,637
971,704
972,695
973,635
974,608
975,695
976,620
977,554
978,704
979,561
980,736
981,544
982,591
983,721
984,657
985,725
986,561
987,719
988,706
989,699
990,761
991,593
992,727
993,669
994,548
995,601
996,578
997,539
998,591
999,578
1000,691
1001,765
1002,567
1003,537
1004,575
1005,635
1006,541
1007,514
1008,554
1009,661
1010,733
1011,605
1012,644
1013,637
1014,556
1015,623
1016,471
1017,614
1018,652
1019,714
1020,650
1021,554
1022,599
1023,569
1024,537
1025,684
1026,582
1027,650
1028,672
1029,567
1030,548
1031,552
1032,529
1033,586
1034,667
1035,712
1036,637
1037,699
1038,665
1039,593
1040,623
1041,529
1042,629
1043,599
1044,552
1045,674
1046,616
1047,554
1048,537
1049,667
1050,627
1051,544
1052,556
1053,665
1054,514
1055,919
1056,627
1057,567
1058,691
1059,638
1060,622
1061,614
1062,699
1063,642
1064,622
1065,718
1066,514
1067,644
1068,578
1069,652
1070,657
1071,614
1072,657
1073,934
1074,687
1075,642
1076,629
1077,612
1078,606
1079,591
1080,654
1081,669
1082,623
1083,721
1084,559
1085,695
1086,612
1087,591
