/ && GET,/setCurrency && POST,avg
4.125,4.925000000000001,9.05
7.375000000000001,7.7,15.075000000000001
7.375000000000001,7.7,15.075000000000001
7.375000000000001,7.7,15.075000000000001
10.675,11.350000000000001,22.025000000000002
10.675,11.350000000000001,22.025000000000002
14.675,14.850000000000001,29.525000000000002
14.675,14.850000000000001,29.525000000000002
14.675,14.850000000000001,29.525000000000002
18.875,19.275000000000002,38.150000000000006
18.875,19.275000000000002,38.150000000000006
23.075000000000003,23.425,46.5
23.075000000000003,23.425,46.5
23.075000000000003,23.425,46.5
27.05,27.475,54.525000000000006
27.05,27.475,54.525000000000006
29.95,29.75,59.7
29.95,29.75,59.7
31.125,31.125,62.25
31.125,31.125,62.25
31.125,31.125,62.25
31.975,32.050000000000004,64.025
31.975,32.050000000000004,64.025
32.975,32.625,65.6
32.975,32.625,65.6
32.975,32.625,65.6
32.775000000000006,33.175000000000004,65.95000000000002
32.775000000000006,33.175000000000004,65.95000000000002
31.825,32.325,64.15
31.825,32.325,64.15
31.699999999999992,32.04999999999999,63.749999999999986
31.700000000000003,32.050000000000004,63.75000000000001
31.700000000000003,32.050000000000004,63.75000000000001
31.975,32.4,64.375
31.975,32.4,64.375
32.15,32.525,64.675
32.15,32.525,64.675
32.15,32.525,64.675
32.475,32.375,64.85
32.475,32.375,64.85
32.1,32.675000000000004,64.775
32.1,32.675000000000004,64.775
32.125,32.525,64.65
32.125,32.525,64.65
32.125,32.525,64.65
32.425,31.900000000000002,64.325
32.425,31.900000000000002,64.325
32.925,32.525,65.44999999999999
32.925,32.525,65.44999999999999
32.925,32.525,65.44999999999999
32.6,32.775,65.375
32.6,32.775,65.375
32.550000000000004,32.25,64.80000000000001
32.550000000000004,32.25,64.80000000000001
32.2,31.85,64.05000000000001
32.2,31.85,64.05000000000001
32.2,31.85,64.05000000000001
32.1,31.75,63.85
32.1,31.75,63.85
32.175000000000004,31.925,64.10000000000001
32.175000000000004,31.925,64.10000000000001
32.175000000000004,31.925,64.10000000000001
32.0,32.125,64.125
32.0,32.125,64.125
