/ && GET,/login && GET,/customers && GET,/category.html && GET,/detail.html?id={} && GET,/cart && DELETE,/cart && POST,/basket.html && GET,avg,unknown
15267.612542675035,20869.052157653,9892.37183760923,26941.176470588234,16988.550684166432,20273.992403700613,10212.95446634814,15566.762728146,15657.6534624513,1145.6834321726674
15158.265602446596,20879.24862643215,9894.104189342092,26941.176470588234,16978.617037739787,20251.988077335416,10239.825260823533,15190.374727870665,15645.292456964457,1132.9092681960005
14082.498734642293,18009.73872624359,9679.279717298552,26235.294117647063,15091.086701231243,18404.425245049715,9822.294134413523,13312.092111466776,13510.478619645113,1359.2433512485313
13911.016193561667,18019.359859347765,9679.982999270816,26235.29411764706,15082.187398607977,18375.00983790979,9823.182738757549,12957.694042238794,13502.013767531713,1351.5963974918586
12113.38518135725,15150.866384741927,9618.224272376978,26697.188720612805,11893.71286618418,17681.83704509656,9721.544502657522,12805.3187593579,13020.659507531449,1514.2764682752925
11972.392726559709,15159.83058922541,9618.87280153065,26759.434892518424,11886.615964382718,17698.917623293335,9722.032491664093,12585.371880405259,13190.626106280775,1509.4433522494373
11312.059641774313,14255.071447197515,14016.444591302701,26856.649794408408,9985.220137569759,19672.33332984874,9745.004294302551,14195.03004873934,13957.808034431637,1632.4148439390083
11174.206903388356,14262.871241602286,14041.756385652816,26915.74881886152,9984.884450076952,19681.096290685146,9745.293706745517,14054.506988168285,14139.776458049972,1628.9440999141252
10102.491491609184,16911.810548312176,18758.47475643966,26928.349020544374,12663.275996767701,20669.191289885683,9760.091138468077,13660.70227137102,15367.003662397197,1725.1167584573902
9997.88193609266,16916.941436720845,18774.46951984757,26972.875539456123,12656.844130505862,20673.975707015998,9760.334815527971,13559.016856577819,15490.712999622661,1722.7033697932752
9720.28289588488,17693.746389296997,20204.418876265667,27011.67141375544,13739.981100807465,22205.966147567942,9806.398299150886,17397.72025502444,16791.330487985837,1800.047368676352
9719.472224390396,17697.979834789854,20217.42489169386,27044.566251519795,13734.20487068324,22208.441327756227,9806.627052851956,17391.023709576275,16875.300720385178,1798.1235217951244
9935.865554342337,19177.035898051123,21847.920779153545,26870.546445272797,13211.627443570276,23044.711039137954,9832.761468048491,19013.374600090123,17578.49322675645,1832.5249881350155
9933.540323769688,19180.083729533973,21922.660675606094,26900.280183012626,13754.316882491921,23090.519871473134,9833.755988268931,18994.64101859624,17612.900389656923,1831.0371878755514
9899.176432074662,19000.060014423063,23139.545238988027,27138.997284386805,15027.667026199264,24259.52329306004,9885.83489484177,21976.411340166764,18963.935937496793,1859.9505769230773
9911.01294806384,19030.870617490247,23214.2763058859,27170.96670825764,15109.937705309829,24259.382335999784,9885.950608418458,22000.243422750027,19028.21505356156,1846.804702797203
9909.8320218472,19102.92909960341,23286.31032277007,27201.04022589848,15184.772685274887,24259.239597589367,9888.736060784673,22023.836879497278,19092.12642798476,1833.4781293706296
9965.456453634086,19266.587134502923,24111.11111111111,27142.98273877842,15025.48871826459,24918.501699569846,9941.695666504227,22138.00808242418,19735.714013276716,1849.3837012987015
9964.4219141604,19263.860818713467,24111.11111111111,27173.73713168185,15075.309626181097,24918.08731399724,9941.623742402466,22157.375367573433,19785.179431173732,1837.1610876623372
9463.334658436215,19078.350617283944,25545.454545454544,26784.753039031653,15624.57396152797,25381.69685283698,10851.256337568244,21658.282585445922,19497.76129683685,1851.648196969698
9451.363860082307,18684.79012345678,25545.454545454544,26842.22741203484,15354.673473278117,25382.170620938145,10359.240319837785,21724.847381962318,19379.85540747285,1840.1768030303028
9241.046405092593,18064.88596491228,25153.324637681166,26953.108514267995,11093.985812773544,25315.04016947678,9980.630882881844,21532.246942635196,18631.618215503604,1931.551268013533
