/category.html && GET,/customers && GET,/detail.html?id={} && GET,avg,unknown
4462.349397590362,8567.307692307693,4395.559210526316,4899.946062567422,2125.0
4399.671052631578,8469.178082191782,4337.936560082627,4857.876712328767,2075.0000000000005
4399.671052631578,8469.178082191782,4310.885608856089,4857.876712328767,2075.0000000000005
4386.212624584718,8302.325581395351,4333.113687598894,4811.21867881549,2107.6923076923076
4386.212624584718,8302.325581395351,4307.835820895522,4811.21867881549,2107.6923076923076
4386.212624584718,8302.325581395351,4307.835820895522,4811.21867881549,2107.6923076923076
4294.60966542751,8272.727272727274,4208.506224066391,4792.266187050362,2096.153846153846
4294.60966542751,8272.727272727274,4208.506224066391,4792.266187050362,2096.153846153846
4201.6950467489705,7975.247840833332,4100.744930540123,4724.544915831235,2050.049568166667
4169.245232030178,7860.684821222221,4057.4452877777776,4693.105238224181,2007.4848166666668
4072.868636363636,7284.967227833899,3926.3535340314147,4581.253433589629,1807.9969696969702
3961.958983585859,6819.117620650957,3803.569946189647,4476.877329262779,1434.893333333333
3791.546608040201,6312.252039007095,3678.5798956414988,4356.855830885954,1172.6343333333357
3728.621652242695,5966.176950354613,3575.3392034990784,4285.401189019414,992.6364382716059
3522.081523809523,4977.774115581099,3301.689330808078,4109.995175163048,917.8672098765431
3441.614047619049,4931.271462324392,3213.4695571789357,4032.7091807275797,889.5766388888894
3368.1510198801743,4883.365185539946,3104.4599161661667,3926.466996497795,800.2630128205136
3278.0236819172105,4834.864299524618,3018.239796046046,3852.201345710996,763.8465064102568
3200.9870522875844,4786.0290916347385,2923.5466638513535,3779.216000287852,726.8970427350428
3071.0527223926374,4719.665065667132,2825.657872605365,3652.285307485272,647.8504615384621
2980.0725880481737,4661.847042848289,2707.1946915708804,3564.3243547295037,610.9064102564107
2489.93981962805,4431.925408713416,2422.8342159785425,3243.5072531227834,497.98648710045745
2470.8010580882883,4369.112728551336,2394.879475552916,3150.6382671957654,467.8870543040678
2386.997891858353,4172.177571176619,2341.2997626441884,2859.321801991976,353.71063264355416
2356.177417146643,4111.681227796675,2313.6275173765152,2753.559454991724,346.8100403437819
2261.6860706430953,3938.0921156653512,2220.889156722279,2469.747233006425,285.5969815207425
2236.0606572045663,3867.6626878752368,2190.4518926366845,2427.019901595222,250.73122440233098
2052.5699089157715,3506.5359664351863,2027.6971879189987,2186.835299641576,221.48964616162692
2022.8796918963308,3436.4478813871765,1996.5236812865494,2151.215730620592,220.46385382363337
1879.024808903725,3115.574875131124,1875.3428979367425,1952.8369524614857,205.74205337052186
1848.9974827969,3046.0150465988877,1822.1925537994898,1915.844543038791,206.93073188801856
1814.8614234255724,2960.178653657121,1786.7515456069323,1867.3292435056119,201.68817212770625
1569.153239235371,2267.3411140076437,1558.1920007558883,1543.676068879487,184.2131397446653
1531.7337011602717,2111.156741333524,1523.007138556618,1495.0456209189208,183.1185243866955
1218.263392623062,1034.2429038496584,1214.6078319760652,1077.3096166754715,161.17045298345445
1172.2503056823202,976.8787090341373,1151.3930222642498,1014.1532228732411,157.16113776366797
611.8132892270735,781.1147091010857,673.2697292720611,657.3885927931137,138.6967085594458
534.9586193097122,773.4448899400077,594.1054663572891,615.6316445713978,137.92189778062038
372.21173481822774,661.769893289191,420.7017325769481,461.77521383496423,132.41402189086978
349.0680045271034,635.6014208311545,391.9049669965418,443.5786287567511,134.65125752542505
282.0816718060913,613.867819538765,339.3556113243189,412.4241460663777,128.52954699737919
276.1675913695181,632.4315104331015,337.62573671191956,411.74693522872815,135.69819775903733
269.6758327978427,640.8177391677775,322.9493045201344,406.6209564840044,137.33392950612694
221.6879675810457,509.2689464528991,240.06050048124567,331.5959130319365,123.31314740727242
219.32834591323046,499.41882174431754,234.76471536215936,326.04095356917077,120.56214644109815
207.997028065957,476.6432570755992,221.6741037086888,295.5316350712848,111.80832960327778
203.06095111211602,472.36493833977795,212.34424368745823,281.2011267590503,109.77593345180443
195.87750022940924,463.7888773425625,200.1453353369416,259.59709485678815,111.56465468414848
196.17077671204441,469.8039797494358,201.84246144460815,268.7291934215523,122.29236354662889
194.95434569936282,463.92492344600043,198.2426075321339,264.32060162789605,120.67225418030169
199.7662678997351,471.11114227962935,201.0410293969316,271.94451791696235,114.73506698909816
