/ && GET,/basket.html && GET,/cart && DELETE,/cart && POST,/category.html && GET,/customers && GET,/detail.html?id={} && GET,/login && GET,avg,unknown
4272.59690130274,0,4750.0,0,8202.538631346579,5999.999999999998,9100.0,4480.946569026309,4981.539470324221,4.84
5814.675090723962,9500.0,9370.13725330951,9000.0,9208.924407306647,9381.893016708487,9272.025655483507,13624.348551177824,8810.136911086363,1192.6190530623442
5933.146361609432,9500.0,9382.31811505141,9000.0,9213.387424575223,9378.300651988226,9266.842275458785,13817.572013840258,8851.611091254059,1447.7986286539165
12740.71275657982,9705.882352941175,23157.838224767358,24000.0,17659.398329514395,19849.89463446264,20883.9306094499,21403.313671713575,15801.583075011375,1662.7072787571997
12893.499308437089,9705.882352941177,23436.170212765963,24000.0,17774.151774151793,19442.028985507244,20807.490938380986,21410.036719706233,16025.090587421008,1767.9242377579303
16075.785582255085,19600.0,23316.123322023894,20000.000000000004,21589.403447454126,23039.437480892695,22459.712773998494,21873.998701017535,19976.688248144965,1881.8127250900363
18001.49055097153,24166.666666666668,24287.355666754054,25333.333333333332,23750.039286311156,24083.297719996703,24555.02784872996,24767.472086747704,22907.41475754243,1969.6754563894524
18074.727267232774,24166.666666666668,24364.998634668453,25333.333333333336,23751.932551929996,24023.956962481592,24529.57501216285,24768.947608760318,22932.546580592716,2010.7663748280274
21777.257472624067,24666.66666666667,24907.31072730696,25995.116265048135,24722.75471586249,24735.948818023313,25418.674041948903,24678.56340258736,24150.504392840718,2068.2344972051137
21810.20129684674,24666.66666666667,24954.021479805742,26166.59027077482,24721.078902593683,24705.118527665185,25407.314060922974,24679.352606761764,24178.790404445364,2092.5267746147
23543.26369144364,25760.0,25563.37529509705,26208.17843866171,25310.939499523753,24902.12435535796,25862.270965446507,24788.57564761708,24826.057839127527,2136.550465794317
23943.678765758305,25928.571428571428,25242.49159521826,25177.480219111385,25702.826113321815,25124.4930129942,25682.92545649829,24884.677405043447,24973.429203559943,2176.2958117990174
24120.39913155394,25933.333333333336,25201.062237329992,24119.446467589223,25905.90698009715,25526.9144115686,25956.858642230844,25049.521391476388,25208.99373686678,2209.211480000208
24096.228228170225,25933.33333333333,25226.04763637934,24237.38287029427,25906.49044761292,25515.2130595427,25954.76468501439,25047.9647031504,25214.062711668354,2218.4037373338597
24520.25452275228,26117.64705882353,25419.920056166724,23879.31414479563,25957.633304510604,25462.28693717166,26021.76767636845,24829.839209538048,25330.945131961504,2241.706307505956
24501.93979486789,26117.64705882353,25438.278281082865,23970.453966752757,25958.056290107095,25451.647578318938,26019.134948336803,24828.44662206204,25333.756724909843,2248.2459540653163
24889.44298561699,26577.777777777777,25712.389697574312,28130.141360724097,26214.782214158324,25580.553015072343,26310.014319183836,25993.414908877356,25860.455822926313,2267.611255319668
25057.963999551255,25627.187804118978,25534.99011345504,27221.86620278787,25490.589870089927,25599.06819448156,25619.63926308586,25837.53262266479,25104.41942658116,2157.7611740208536
23603.240769934047,23986.4829601045,24449.18477634199,23917.17141544231,24136.731115635965,25153.858929771126,24328.219585637013,25417.16579980268,23607.33393325843,1968.6312079743575
20866.02982193051,23091.514435925514,24273.29845421461,21241.96997614389,22345.05498471532,24049.935447076612,22856.79733471096,26007.93016013224,22183.706679223502,1873.5783574559655
20114.668807868213,21586.08435160663,22509.558928873645,21578.241347062092,20461.311207039776,22906.138852269127,21069.72383953419,23761.595855915577,20588.634936375303,1832.107819143533
18577.70080994727,19612.80511290738,20546.731521896167,20539.855382965587,18647.722414904027,21983.4751467064,19697.376438327665,23318.274510569427,19020.75523996995,1715.0151746569345
17202.0821232144,18794.645803125466,19847.205100513813,19685.39605664461,17396.508219873525,21188.12200767262,18607.313665949558,22755.45048312166,17930.28293491191,1624.8364829230509
15892.35274955096,17013.12517246678,18554.958381186658,16696.19788214012,15503.237201127333,19675.620358031978,16995.287903419652,21417.87344933061,16160.056580182583,1530.8828325195059
14821.016149952262,15102.43851278194,16765.51929003682,14545.203221252244,13477.829116214396,18048.837726725957,15391.344709132549,20378.532292610766,14753.613496831018,1397.662032052403
13914.820938271605,13437.874441518512,15333.018578252544,11655.7724984303,12519.005484616886,16805.4064803254,14244.053142698463,19382.219761979723,13399.500728807925,1296.7616609315837
12838.910746619653,12388.057004222486,14334.45261983054,10951.610258467066,10862.554764060373,16006.208791175624,13036.068423683942,17970.843341442967,11793.174985812342,1125.6822237946528
11008.92077601412,10610.85614659151,12322.105987858344,5867.292751643748,8341.381412815144,13540.197990096207,10488.005293629743,16101.338855294023,9116.460111542732,796.3666181636806
5844.483240794267,7779.280895422663,6199.833280378552,4389.018661057711,4527.948311173977,10519.467661576417,7206.321478251836,12460.04357085004,4948.107474374064,496.9277204999032
4264.491537925728,5648.431321782764,4317.472009823548,3948.3845273347615,3146.5221607539497,8072.759682324571,5316.937685430619,10298.868837034675,3802.808636237286,480.79113480582873
2796.6463789612385,2411.0317070133087,2758.806355503292,3383.3364903645906,2141.999404202813,3742.788720988687,2714.9790804833424,7345.649287500586,2388.71244222729,450.1333444064738
2103.0910791259357,2002.0441401883818,2400.287926853947,2746.1844941193717,1730.2160501142844,2443.190881401727,2052.0113719800956,4363.22623463313,2113.5148499072047,428.2564669255365
1373.0882054899944,1692.323209553635,2247.473281446478,2402.486226559805,1201.6301571177382,2289.908104592771,1535.2011908854295,3590.674048069105,1796.2856779002295,401.66563564657883
1119.3433886794521,1480.1037019879222,2144.966453662256,2331.293772091454,992.8834885531635,2194.903950669923,1280.609020072834,3163.690533538098,1657.600275319129,381.5516942215744
935.3234685757927,975.8512376148813,1913.0915747600175,2263.7388657058736,930.6373094876692,2071.2859153182135,959.0038287212049,2445.693924711422,1338.6921261218401,352.2891693615112
864.1117022364651,910.3485536117028,1777.6596859736114,2128.9293711827177,867.0848005786428,1897.417649137266,900.9057096744093,2270.4423127269774,1022.821512956544,319.55752344204166
834.0685762825831,877.4081286655339,1678.1212796748305,2030.7707740510239,830.3079295745115,1798.9834535535574,867.7050545258958,2181.6531883998928,977.7219818024546,303.5816758779655
793.3683376914166,834.387083168031,1532.73728475505,2014.9264604216253,783.203161836971,1644.1012917583319,819.8517319526704,1983.2646393151522,936.390223155418,296.79177568493446
728.373203792554,770.7113094637925,1420.4161883588097,1993.7575752949215,733.0554836538163,1540.0109090089074,757.3551809950154,1884.1255554273093,890.4560399004812,275.460068800912
713.8673445335451,749.6746768662337,1411.747517870714,1963.6157824945267,703.4972788797069,1467.3386048870088,735.1103190063602,1866.0483910094467,878.7408183617354,273.15967767697384
642.8613397204579,672.4324882796411,1252.0780685812672,1795.7186786238028,648.5125008897746,1368.1984470858856,686.1515321326656,1734.9478399553354,828.946629088779,248.14193146723375
551.6432238310865,622.1234379733763,1108.2777253569495,1733.5901437944826,591.8938285087906,1138.3940741178956,631.7830277983494,1560.3631713484338,787.2802342953678,241.19632115496606
556.1169949115609,607.432961865655,1069.3518030336227,1728.7914368062407,568.9421273717572,1089.6910295298508,611.6177596864309,1505.0189958980043,780.6284975944955,237.46746586484838
530.5798503809349,554.4699427676518,973.9227633170872,1681.337531411741,534.7572660683479,993.5750703870456,579.963455266131,1365.755688393313,749.5380476430199,233.85228414880615
482.16977969681557,474.3948073716188,924.530311739522,1528.399124069208,483.8453599410531,949.2597570558383,487.38327285792184,1089.2847789783611,688.0943383027949,221.54298304857906
457.5081603040662,445.35238965266944,897.386978319782,1448.6484807758284,459.01361990732215,910.1669605040927,469.56667761072083,998.3362607200904,646.0383786057375,210.1151316872747
405.8578005521675,397.43228429351086,851.606955497603,1218.6401198688936,399.6104734234207,855.4753133494225,407.85617329803557,962.6079759881918,550.6940903011953,186.54357352160622
385.2460207195197,361.37006616915926,824.2845843877323,1021.7406863343446,365.7660217573954,806.268673492167,376.4009689481553,954.1994522816701,497.8990965637918,175.28280024680342
341.1242130270977,340.90845171297434,857.8044818257549,993.8351008363495,345.34909907151166,775.4910387477507,355.35559334852974,966.1287510122806,486.3571968212549,172.0444485958488
304.4915692097633,344.98174688375315,819.7096756597984,978.1064431860166,332.17109597273424,762.2014926579508,338.32997849280395,971.3054385594169,476.938871821322,168.37791190121175
284.3338825798625,323.76551230837583,783.644267970571,961.2025513944983,312.7013983918697,741.1669267829383,325.3687748973422,949.9782385875249,466.1178322302593,165.57092597258963
278.4930497063073,312.7382499115088,780.0304539690358,956.7151247418067,303.96002717879037,744.0915731102373,314.17337553531877,942.3946920936537,463.28153477360524,162.5533573887155
286.36353500757036,323.4752871910184,784.8559378009686,956.7054769208894,310.6374076342994,743.8007069567325,318.6797031860323,935.4846907411215,468.28073778668715,164.96086879401057
274.4831435490083,326.337179193862,783.6111368209124,949.5511266296169,311.03104874111085,746.3316229816069,317.44490212534265,940.6767913394826,468.67602854406505,157.4561258402068
289.5188851011912,316.5151087799887,782.27280889517,956.5463921931864,315.866921943488,755.0479558949011,328.3520780779994,956.187303025569,471.66782767063876,158.79886653060274
294.77786110964956,325.67507547937424,794.2401431960102,962.3229108330485,330.400468372852,767.8995275626883,337.5030425512689,950.4856238718014,480.99296124701766,167.69520657512106
310.9294451202112,332.41955962368786,801.7237551239341,964.5948559962792,335.29366279315866,773.8569436188166,335.22021147263075,939.4315156112573,482.0485633699463,164.66699602126437
322.6770383010436,342.0633219270936,794.5184994690975,976.5519091383319,339.58935067951285,774.6604153528694,336.97675946342076,934.8824826185165,485.2359815466977,169.38502833603673
327.60530773799485,344.07092446032345,791.1999616124097,977.6947406100599,344.59073113366975,785.6039335369846,334.93573457729855,931.4164769314746,487.42357463176336,175.6575039863584
332.82990013363076,357.6207279011436,803.7383298980869,990.7971450362784,353.37324176552244,788.2919169551335,341.394685932097,938.5144177652692,495.05279975720316,178.93763720584948
346.95187481538755,364.68783913032405,818.5616698227101,1025.908820069686,363.2394494343306,801.6583676313951,356.56408837147353,947.3389103872569,512.1558844305661,185.92443649074892
345.57048355471176,379.1219408553587,820.709635605471,1051.5461314148247,376.27144362125847,816.3019763755944,361.92198493591275,951.1618100533315,535.0271334507248,192.79719986036466
324.9517088627343,380.07683396888615,796.3790647340256,992.7641948784957,363.39264612863485,807.3747010275094,347.1018047008687,929.7007106329431,512.497402075547,187.49756326834532
330.96180526786856,385.71407135984214,785.9073900610001,981.3299789493183,371.3505446685373,810.5286390211859,347.5280344182841,919.2352517815414,518.9910954034888,189.76438636160015
325.889359530452,378.6297978792398,781.8402136687625,984.8133447219843,374.17083423253507,809.7636862713296,340.6791199697168,916.7790485244847,517.6024140859289,186.35342921028482
324.9883383965605,374.94230636329246,773.4332075963085,986.9030768220492,363.3854884621966,806.1908125661121,339.893671059471,909.931422463015,507.5180239365563,187.1236259990729
324.97172854267046,377.9710041590193,772.5661818546705,983.614843615602,369.9873958070208,812.636588131217,347.1337469751743,910.5538946440179,514.7023885270279,186.5097032984002
315.8361447974049,370.5112669404387,758.6608811614758,969.9564598898206,360.62443966105064,800.4893239864266,341.47383054994816,903.2512742834028,498.2122142000893,187.48353891116014
328.6531173347945,368.10604091799325,752.9632709182968,971.7877803886608,357.5446015798915,807.8786190047117,338.80987986903745,899.0795397754135,497.12722989573524,190.24129230137862
333.1953277977536,375.8536229221912,752.8422499101787,975.8753061740392,360.0325288914479,815.8541216122693,338.7864191342608,905.0090491116487,498.1730603957044,196.1174464068225
313.15923095420465,361.22724576848276,720.0288931351802,957.776822992773,344.79268899575897,797.4800769755211,321.19244129996207,871.2961203311811,485.7651494845205,193.97809527090237
323.91951983306944,364.7954567414722,694.6762535140822,958.2706169661483,342.6211461628913,801.7888175624994,318.95130856182834,865.0841778406058,484.36578243012434,195.2821210061185
314.24585513766414,360.7900420219389,668.4373720350881,949.1546086833739,338.02014741924455,795.578928910608,313.5539726752039,856.3688485595499,481.02435961764866,190.23226474728455
294.000251015857,321.9788556034935,568.2635543596533,919.8612579846972,308.70580038864136,763.1436248580127,278.4301865266532,818.9361048916145,462.0802489945519,181.09602102519588
285.34339489417874,309.0704096707082,548.0953236037267,915.3483626820355,294.4225876121957,748.3705764644733,266.1062728284206,799.5635163589968,455.6927924363375,174.24879706822483
288.24121250576343,307.3958721307148,538.6325999403936,920.0349110735482,300.5130968467789,747.7157095749943,266.2877648235563,787.1209213208732,455.6154624912014,178.49026674832086
287.90868348071297,315.9554055991755,499.9378823918911,932.9092499846589,297.23466131705356,735.4621092978113,254.20479782783664,776.3165802089244,450.89436859592723,171.52535230237794
295.02313023675833,314.0537285137714,505.6331268717178,943.5984425899896,290.89311126421455,729.4944049220582,255.68614126093678,780.2897639137357,449.47246818586734,173.29020008935635
283.6650042185511,297.3113462108979,495.1228643293152,943.2870383941834,281.4306184787113,716.9775227841922,249.7514465024108,775.6051537564531,443.40781824672894,175.80392366009596
