/category.html && GET,/customers && GET,/detail.html?id={} && GET,avg,unknown
7268.656716417913,9618.717922284486,7190.567909211384,8615.721644368403,2274.2712136983737
7268.6567164179105,9618.92650942926,7192.0458076674595,8617.733824297551,2274.878698067405
7268.6567164179105,9619.113821867431,7193.362260264867,8619.535956799049,2275.451837167937
7066.176470588237,9603.113308715245,6913.886987879259,8575.553957074955,2277.996750134309
7066.176470588236,9603.261165421918,6915.152618984616,8577.229189143887,2278.4850565070938
6772.058823529412,9584.979390774406,6548.4965948064755,8500.076943344893,2277.876571315339
6772.05882352941,9585.095781062653,6549.673539053398,8501.563770110706,2278.3182841955577
6397.058823529416,9540.245556499778,6167.229469283917,8365.833998483055,2277.7598650349964
6397.058823529411,9540.348354501111,6168.402597531388,8367.288364060765,2278.189640947461
6125.0000000000055,9502.01258117999,5857.48072947374,8242.19849749283,2295.5971007636363
6124.999999999999,9508.0,5858.559185297046,8243.54158567232,2295.864830496769
5838.4974276742605,9523.55072463768,5555.656604772392,8222.8737432347,2286.944873565286
5841.159324791815,9523.55072463768,5556.682732912941,8269.142203380412,2287.2462346191296
5941.176470588234,9523.55072463768,5595.238095238094,8275.162664482665,2287.545776632609
5492.063492063488,9494.23076923077,4994.444444444445,8100.1632821637395,2277.87170781096
5492.063492063488,9494.23076923077,4994.444444444445,8099.9897404970725,2278.2851815815584
4976.010101010101,9463.740458015267,4926.79900744417,7960.255280073461,2277.804678840208
4976.010101010101,9463.740458015267,4926.79900744417,7960.080655035203,2278.2029463383506
4950.248756218905,9395.833333333332,4921.2158808933,7888.888888888887,2278.2608695652175
4950.248756218905,9395.833333333332,4921.2158808933,7888.888888888887,2278.2608695652175
4925.853018372703,9332.699619771864,4890.248967624687,7758.426966292132,2261.363636363636
4919.582750072908,9332.699619771864,4883.862235449736,7726.216104868913,2261.363636363636
4833.932128876844,9218.783446251131,4803.81545847882,7307.841296869624,2173.895263157895
4780.351159289371,9078.812172538392,4738.623592188919,6881.646560027522,2001.8552631578953
4653.559534642402,8823.60471743295,4602.413414126919,6086.098890817902,1732.5900925925923
4603.922194284802,8719.526939655172,4550.60593179635,5735.685079089507,1551.3228703703694
4521.879565919129,8521.882420091324,4495.864990528253,5223.8320130315415,1389.174803921567
4470.09062747763,8394.944055470998,4431.451377644782,4971.7018614969165,1283.163137254901
4350.16553667154,8071.307261836579,4323.481424491817,4800.028732960387,1064.0827222222238
4302.344790905216,7936.8088798205445,4271.766650990842,4744.169719328705,1012.7162777777784
4208.103293249213,7740.697342543074,4177.495891805413,4649.181742824775,919.9076666666672
4142.305533333334,7592.636938502674,4096.636882887054,4574.6928423967765,883.4747777777777
4093.504343097643,7453.648411566646,4037.0992911522635,4511.042201661634,848.3263333333334
3919.9084661505785,6850.066095874353,3874.579540353236,4273.807891820988,667.0596666666659
3853.9671854670833,6693.004506563528,3798.3233255296536,4199.408152998238,629.8410000000003
3589.7480398640955,6048.3602388620475,3523.775571175628,3918.534286175711,494.9227113017049
3515.717859088082,5899.954905682078,3423.7862271062263,3839.4797888212133,460.30809712416453
3194.1091432334433,5058.5808779762,3104.9598817246456,3515.5477409977793,366.3191654484509
3126.85378818114,4919.913574311488,3016.6058819860286,3425.6314132500447,334.1612532153718
2636.75897887324,4370.865012077295,2486.680631635124,2938.426281379924,241.85189476596037
2548.183368924972,4284.724755099301,2445.327229582146,2853.400260937354,247.0772024652747
2282.266777583829,3790.528973063975,2223.040861873937,2404.9443095512825,230.8218861426372
2293.0150115647193,3781.325066217732,2226.1535426612063,2403.778310933061,260.5336903758476
2119.470643107019,3243.782366486338,2044.07658582682,2152.689693905154,237.82867636826845
2099.1539110021026,3235.9263386644557,2019.687333018911,2172.0849618686316,249.5896572603208
1871.0356887282423,2763.029399554265,1811.990752818193,1940.565045315569,236.01908863719154
1847.0540629964084,2796.4998217710086,1771.3144748852715,1940.1935442044241,246.30046748494811
1839.2579301028923,2767.123224583161,1753.4482599098424,1934.6431804951599,247.3459473269122
1621.5721900684966,2412.733828255413,1558.4979193932036,1711.4541515733604,243.1411473564829
1621.0148846416905,2410.630791624101,1536.3045445366301,1713.8552804585074,244.4650250018911
1281.9356655499355,2183.917277618989,1240.6470659209367,1431.4946625998275,231.4207328008601
1432.9935778732354,2426.227055868875,1358.5800264644454,1596.9723627689486,241.6772588716829
1231.2376001387495,2116.0769660232054,1206.672656918458,1394.9594335962206,236.64115921539238
1304.9090205680282,2206.026847988318,1332.1133433075588,1501.587224634964,250.46668072566263
1183.3787073240283,2114.6637631132508,1311.3635196586035,1411.2218410265396,244.16649098807244
1301.658398088577,2257.166591712863,1336.3563279190976,1491.5410645864858,262.61207505437903
1003.2251412608621,2001.4954182803394,1116.9821872325401,1264.4923809855002,243.84880590045466
982.571347030718,2099.637481907277,1034.367152699254,1291.5921658237455,241.90891186736084
966.1113240979671,1959.932933027058,988.1268030694569,1218.385796645211,241.47241184547138
969.4861050855324,1996.680734934404,986.9691873167693,1277.1407696257047,246.57093911211405
978.8197629408527,2034.597888436492,997.0834789323733,1298.5226017442328,249.97176943042274
974.1889153705529,2004.2755632775704,984.655708274833,1289.0794138841497,252.14840864102254
976.8005080502346,2035.4434435261255,981.5503789737755,1296.466419017696,294.6252537154593
973.1294008140085,2022.4187431766538,982.4923547878063,1287.22592457823,293.30495367540175
967.4275638001535,2019.0000587568652,981.5931164407343,1276.7420612238266,284.29100904335627
969.319972259768,2027.3909673026221,975.4039770020626,1274.7344803295446,285.75870619863394
967.2767321001467,2029.4667920479992,975.675984667281,1275.7346892258747,271.93982164370317
972.0340606174411,2032.7914325524985,980.8339514741537,1287.7378828943035,274.7293738815143
968.1259210750371,2033.5120433035534,980.7121956412591,1282.1762456496758,265.9815452470306
970.3919216622267,2035.061796680312,983.4857054879662,1289.2890636026925,244.17169347494806
969.5761595946065,2025.1202375123942,982.6499547667622,1282.722352766431,242.32482389860863
969.2075426259674,2030.2422226693068,981.7934421043497,1283.438524238231,243.47225747026215
970.6352453400989,2010.5245253868284,983.2218926255003,1278.6626458515082,241.68398123079493
978.3902165013056,2029.6490139555294,989.5226934359005,1304.357430933947,246.76940798182937
983.0977666659336,2048.6630234649356,994.9174600359061,1317.4464602113555,242.5659229497822
984.9562631127609,2058.3099381516236,995.3889390154595,1318.5249449627051,230.04589982382277
970.6690179940492,2000.3796339905807,987.0033730588233,1261.8336025207423,217.41436406186943
965.2388560410342,1973.8979192834138,980.2510855424817,1238.498975376816,211.7271826149062
890.2620794307752,1883.0238804368144,918.3410912783486,1051.971483249978,194.359662423396
899.4122648722644,1882.4747198421721,917.9238929508499,1061.299319634667,203.5678771317423
841.0345652514068,1708.387483790269,862.8496112461985,957.190982602397,196.73653192804136
890.7453899505542,1817.9857455837428,914.2990847193769,1009.5596878581406,205.92452335316045
