/ && GET,/login && GET,/customers && GET,/category.html && GET,/detail.html?id={} && GET,/cart && DELETE,/cart && POST,/basket.html && GET,avg,unknown
6504.876079259583,9400.0,9261.79336395244,9250.0,8994.20914522979,8080.95078912588,8903.970690167343,16000.000000000022,8097.58186116327,485.7826070738713
6513.491591412968,9400.0,9278.650874372519,9250.0,8985.000472358442,8047.60775994836,8884.047066357161,16000.000000000004,8148.868120667661,489.7579783417075
8834.952835549497,20000.00000000001,24547.336144116518,9333.333333333332,9608.593851623813,15995.709123757895,9404.035635109614,22400.000000000007,9635.036853494437,823.4794327903448
8838.499089653824,20000.000000000022,24639.8391877966,9333.333333333332,9603.401635614071,15986.503527759156,9396.089390993166,22400.0,9663.612302114958,1000.5282363794416
9219.515409766287,20357.38449886392,24032.046981989395,24333.992876929166,9933.312153339455,21273.413114211668,9628.437230911895,21600.000000000004,11761.121594944954,1211.142261880837
9221.450753822195,20257.31814198073,24107.974266575293,24958.210712183634,9956.226416960502,21242.563433958483,9625.521783951868,21600.0,12273.777592898718,1252.0033603963798
9974.106541565365,22880.960034286934,25567.89911641074,25590.9027095325,17540.07405297636,20923.160895142224,11817.978981406643,21333.333333333336,17087.974233130306,1396.8201861377113
9975.347441683687,22858.71767541459,25602.63058537074,25819.52294800622,17570.46986800299,20893.422431509178,11773.909070812779,21333.333333333336,17306.420444604508,1424.1863811974192
12224.601838340754,24939.23067744808,25408.024850343798,26430.41217306658,19650.746989755477,23515.34879129951,20205.920688285612,20666.666666666664,20571.4155663142,1530.5532645469693
12233.1190694827,24932.486670641934,25435.889974076264,26529.134703470998,19645.732920642353,23498.75521710478,20176.422184549567,20666.666666666675,20677.520265108786,1550.402726619695
16858.483040301235,24946.168352477285,25698.245614035084,26259.385665529015,23132.558743828653,23927.004826827004,21788.706434316355,22666.666666666668,22135.448067410434,1632.5194147321713
16862.760882061244,24942.42765303982,25716.773653363107,26331.358044873108,23120.557799143964,23914.169585471216,21769.240906694784,22666.666666666668,22185.740464366965,1646.523773893577
17067.500548606542,25614.8915464631,25388.83556699498,26015.797324725507,23960.845932921024,24681.73807616532,22621.49321914176,23247.555729370353,22890.528938747142,1711.0054173592616
17070.926942918963,25612.901870140788,25405.878451608725,26077.692087974865,23952.226143304302,24671.591654638498,22607.20725498515,23433.456825306355,22921.787492143434,1721.9668982906737
19905.178145282764,26060.3674972962,25752.255538724574,25590.94133470907,24483.357492979878,24534.655340392124,24308.139631659396,24011.620875030014,23731.44932168509,1786.475332387596
19584.017799615605,25923.986543270214,25763.208154266904,25647.90669116926,23863.290312587127,24194.38026414154,24299.736062334152,24067.817032205385,23439.683834242707,1779.1093888111268
20639.101501451943,25771.575919576004,26101.310727502892,26006.41279085933,24350.645272586356,24580.995178757228,24154.643035160927,24290.73958020346,23772.197507327495,1828.445697653479
20117.40612548204,25569.314822802633,25729.629615693517,25782.121235766663,24154.90534722364,24646.97428218656,23715.253836185366,23845.140015489338,23550.06367727542,1830.1507983535305
20461.81531500651,25713.50368257636,25683.6292916694,26004.895913870976,23858.969480956992,25011.971626444978,23678.533137005274,23147.02043132804,23609.1307272771,1872.1853588885483
20471.57732009134,25444.68655559438,25657.849632723606,25828.85345375995,23731.94102057593,24863.769496864432,23335.251841693087,23137.50610163976,23475.26770381559,1873.0051118542945
19759.038925530876,24902.30662269797,25135.13428053856,25857.631246897792,22944.002619457882,25259.879442881545,22744.36480617699,24213.828591467594,23201.785573274905,1911.0479345791302
19374.332473122442,24772.74934409649,24842.16792567142,25745.36021952801,22794.851847846738,25008.201697588775,22434.219095698565,24093.621911436247,22983.670566764762,1951.8033488067672
18395.28809888626,24127.41319527907,24333.65863787376,25752.386244291956,21837.784025581706,24783.62797096766,21523.489934420635,24073.754101335115,22396.11028576852,1986.32188371946
18142.482682780283,24053.701655544035,24181.0152854994,25824.31054184016,21685.30931945599,24829.624316205132,21319.91116633828,24085.647152521626,22296.63027666407,2010.8146036252415
17557.783357933906,23411.725883824703,23822.90008726726,25745.748268796437,20913.64543634957,24347.84162511125,20709.208956461815,23699.672118920826,21904.424905100183,2163.054107459924
17739.600858798633,23391.749764364955,23772.831898323548,26021.477975807582,20775.058138540215,24289.040680301834,20594.202652820306,23897.570629679347,21911.85312513299,2177.393480174391
16567.62284243109,22751.24850967643,23163.734353043117,25814.023494880636,19930.5747220928,23889.83373030241,19843.947338169484,24044.35676019528,21322.087505448613,2187.212170843173
16305.176536905252,22501.485969555015,23113.778780937057,25939.31488203267,19438.33425150514,24004.677376898537,19598.92134449799,24430.593578644515,21100.51197494335,2189.9861447895155
15297.839997572355,21490.039810638016,22501.3420019075,25645.461652845253,17910.90075248316,23372.492023574945,18189.955000441176,24156.34450727769,20189.364128310433,2306.4193790544923
14304.335738253625,20747.651947738188,22244.364297501714,25907.864562096383,17082.050809970573,22862.790395873373,16972.13088614455,23956.003369499103,19821.847646349357,2289.279151397268
14864.819136097241,20052.21392678326,21307.587073066097,25451.44450778999,15856.913861964167,22287.346718112654,15925.884967016384,24288.81427015099,19000.10941147753,2283.3959270855053
14176.74492337165,19765.746348375476,20835.698387536973,25231.509404513818,15232.131124712441,22057.168292073253,15443.964200362927,23938.141676418374,18714.605176499703,2282.5472236116366
14130.916070668387,18235.5507600205,19849.241391341297,24924.090715358197,13774.527230813665,22223.292143092203,14341.62618061669,23668.1508007357,18055.26234233916,2279.196342493567
13767.624478501497,17641.47596224428,19405.55194830842,24787.216866343202,13795.030780765364,22078.88338868451,14338.428311263964,23375.853406547983,17603.34451886736,2280.0155201747175
